,Words,Count,T_Freq
0,article,5268,0.01062576647518234
1,right,3569,0.007198815594139289
2,public,3477,0.007013247918414768
3,applicant,3047,0.006145920738397986
4,information,2676,0.005397598915639321
5,criminal,2512,0.005066804363260827
6,act,2240,0.0045181694959013745
7,person,2234,0.004506067256180211
8,may,2233,0.004504050216226683
9,decision,2175,0.004387061898922094
10,also,2115,0.00426603950171045
11,statement,1930,0.003892887110307881
12,state,1916,0.003864648550958497
13,freedom,1868,0.0037678306331891823
14,prosecutor,1778,0.0035862970373717164
15,police,1679,0.003386610081972504
16,shall,1627,0.003281724004389079
17,section,1569,0.0031647356870844897
18,one,1545,0.003116326728199832
19,relevant,1537,0.003100190408571613
20,mr,1515,0.00305581552959401
21,member,1431,0.0028863841734977085
22,authority,1409,0.0028420092945201057
23,could,1398,0.0028198218550313046
24,paragraph,1368,0.0027593106564254826
25,time,1364,0.0027512424966113728
26,offence,1356,0.0027351061769831536
27,constitutional,1318,0.0026584586587491124
28,expression,1305,0.0026322371393532563
29,code,1302,0.002626186019492674
30,court,1249,0.0025192829019557218
31,report,1209,0.002438601303814626
32,medium,1200,0.0024204479442328794
33,event,1194,0.002408345704511715
34,would,1164,0.002347834505905893
35,organisation,1153,0.0023256470664170916
36,office,1152,0.002323630026463564
37,see,1150,0.002319595946556509
38,follows,1134,0.002287323307300071
39,opinion,1097,0.002212692829019557
40,held,1085,0.0021884883495772284
41,action,1084,0.002186471309623701
42,made,1049,0.002115874911250242
43,published,1041,0.002099738591622023
44,activity,1026,0.002069482992319112
45,district,1021,0.0020593977925514747
46,question,1013,0.0020432614729232555
47,following,1009,0.002035193313109146
48,company,1000,0.0020170399535273994
49,part,999,0.002015022913573872
50,provision,997,0.0020109888336668174
51,people,984,0.001984767314270961
52,first,981,0.001978716194410379
53,investigation,957,0.0019303072355257214
54,particular,952,0.0019202220357580843
55,two,945,0.0019061027560833925
56,administrative,937,0.0018899664364551733
57,newspaper,936,0.0018879493965016458
58,found,924,0.001863744917059317
59,journalist,923,0.0018617278771057898
60,concerning,922,0.0018597108371522623
61,interest,921,0.0018576937971987349
62,march,916,0.001847608597431098
63,stated,892,0.0017991996385464404
64,official,860,0.0017346543600335635
65,officer,860,0.0017346543600335635
66,civil,849,0.001712466920544762
67,political,847,0.0017084328406377074
68,provided,840,0.0016943135609630156
69,damage,823,0.0016600238817530498
70,protection,820,0.0016539727618924676
71,view,817,0.0016479216420318854
72,material,816,0.001645904602078358
73,year,811,0.001635819402310721
74,without,806,0.001625734202543084
75,respect,802,0.0016176660427289745
76,religious,801,0.001615649002775447
77,detention,799,0.001611614922868392
78,taken,797,0.0016075808429613374
79,general,793,0.0015995126831472278
80,president,792,0.0015974956431937003
81,considered,789,0.0015914445233331182
82,national,789,0.0015914445233331182
83,july,784,0.0015813593235654811
84,request,781,0.001575308203704899
85,december,772,0.0015571548441231523
86,party,772,0.0015571548441231523
87,day,767,0.0015470696443555154
88,human,762,0.0015369844445878784
89,according,760,0.0015329503646808237
90,publication,753,0.001518831085006132
91,individual,751,0.001514797005099077
92,judge,744,0.0015006777254243852
93,read,734,0.0014805073258891113
94,council,732,0.0014764732459820564
95,government,731,0.001474456206028529
96,ground,727,0.0014663880462144193
97,within,726,0.001464371006260892
98,measure,725,0.0014623539663073646
99,supreme,718,0.0014482346866326729
100,procedure,710,0.0014320983670044537
101,constitution,710,0.0014320983670044537
102,regional,704,0.0014199961272832891
103,regard,700,0.0014119279674691795
104,document,698,0.0014078938875621248
105,russian,697,0.0014058768476085974
106,including,694,0.0013998257277480152
107,lawyer,688,0.001387723488026851
108,whether,686,0.001383689408119796
109,given,675,0.0013615019686309946
110,november,674,0.0013594849286774672
111,june,670,0.0013514167688633576
112,life,669,0.0013493997289098303
113,issue,663,0.0013372974891886658
114,basis,655,0.0013211611695604466
115,group,650,0.0013110759697928097
116,submitted,649,0.0013090589298392823
117,minister,641,0.001292922610211063
118,judicial,641,0.001292922610211063
119,must,636,0.001282837410443426
120,press,635,0.0012808203704898987
121,access,634,0.0012788033305363713
122,however,625,0.0012606499709546246
123,service,622,0.0012545988510940425
124,account,611,0.001232411411605241
125,force,610,0.0012303943716517136
126,election,610,0.0012303943716517136
127,february,607,0.0012243432517911315
128,personal,604,0.0012182921319305493
129,april,602,0.0012142580520234944
130,even,598,0.0012061898922093848
131,parliament,593,0.001196104692441748
132,letter,589,0.0011880365326276383
133,september,587,0.0011840024527205834
134,expert,586,0.0011819854127670562
135,october,584,0.0011779513328600013
136,use,582,0.0011739172529529466
137,noted,577,0.0011638320531853095
138,second,575,0.0011597979732782546
139,therefore,570,0.0011497127735106178
140,rule,570,0.0011497127735106178
141,committed,569,0.0011476957335570903
142,well,565,0.0011396275737429807
143,meeting,561,0.001131559413928871
144,three,561,0.001131559413928871
145,january,560,0.0011295423739753436
146,take,559,0.0011275253340218164
147,convention,547,0.0011033208545794876
148,another,545,0.0010992867746724326
149,circumstance,541,0.001091218614858323
150,established,539,0.0010871845349512683
151,lodged,539,0.0010871845349512683
152,reason,539,0.0010871845349512683
153,term,536,0.0010811334150906862
154,used,533,0.0010750822952301038
155,necessary,529,0.0010670141354159944
156,security,527,0.0010629800555089395
157,principle,527,0.0010629800555089395
158,concerned,527,0.0010629800555089395
159,content,525,0.0010589459756018848
160,commission,521,0.0010508778157877752
161,place,520,0.0010488607758342477
162,certain,520,0.0010488607758342477
163,comment,519,0.0010468437358807203
164,way,517,0.0010428096559736656
165,referred,514,0.0010367585361130834
166,child,508,0.001024656296391919
167,dismissed,507,0.0010226392564383915
168,social,507,0.0010226392564383915
169,data,506,0.0010206222164848642
170,case,503,0.0010145710966242818
171,european,503,0.0010145710966242818
172,present,500,0.0010085199767636997
173,point,498,0.001004485896856645
174,subject,492,0.0009923836571354805
