,Facts,Cluster,x0,x1
0,lives kragujevac relevant time journalist editorinchief svetlost weekly news magazine based town represented rakićević practising kragujevac represented agent jadrijević mladar facts submitted summarised published articles svetlost published titled shame silence ćutanjem crvenila piece written far relevant reads kragujevac reason ashamed towards end head municipal branch office firstly city centre front main post office building falsely introduced street vendor market inspector invited car pretext certain documents copied thereafter drove girl away karađorđeva street tried rape girl age romani origin resistance screams crying ultimately thwarted assailant underaged girl warned tell anyone happened give telephone number next day head municipal branch office called arranged meet met arrested also detained period fortyeight hours brought investigating assailant charged false impersonation unlawful deprivation liberty attempted rape commenced shall course conclusion local otherwise prompt comes informing even much lesser offences simply kept silent incident press also received information investigating prosecution service otherwise also cooperative respect providing information concerning activities magazine indirectly found horrific ordeal suffered underaged fellow citizen provided information following receipt written request asking confirm deny details learnt others nongovernmental organisations focused romani rights issues also stayed quiet underaged street vendor probably priority rich donors city administration likewise nothing respect official remain silent uncomfortable questions soon answered power keep quiet attempted rape concerned romani girl anyone city administration intervene cover shameful incident idea thereby buy time make possible head municipal branch office strike deal gypsies paid withdraw attempted rape lastly importantly whose interest protect bully getting salary paid municipal budget free time attempting rape underaged fellow citizens long questions remain unanswered power city kragujevac unable remove shame regarding incident date svetlost published another regarding alleged incident titled false inspector near kragujevac attempted rape underaged girl lažni inspektor kod kragujevca pokušao siluje maloletnicu piece written journalist employed svetlost far relevant reads head municipal branch office village near kragujevac brought investigating kragujevac first instance year suspicion committed offences unlawful deprivation liberty performing illicit sexual acts underaged girl confirmed svetlost lodged underaged girl together mother selling year front main post office building kragujevac minor domestic supplies explored allegations fortyeight hours detention brought investigating despite incident taken place late issue usual press release received request regard lodged underaged girl states around introduced market inspector told could freely sell merchandise front post office building charge area one hour later returned car front post office building invited girl approach vehicle girl came near told enter car sign document locked front passenger door drove away scene explained girl certain documents copied started touching leg according girl told false inspector could leave mother asked calm parking car karađorđeva street started touching kissing neck girl started screaming turned music loudly vehicle tore buttons trousers clip bra girl punched car windows told calm would touch drove away nikola pašić street proposed coffee together told tell anyone happened one day later called girl phone mother answered arrangement made meeting take place front post office building instead met girl met taken station noted time publication two articles also editorinchief svetlost first second articles published pages news magazine respectively following preliminary investigation charged kragujevac prosecutors office osnovno javno tužilaštvo kragujevcu connection abovedescribed incident charges alleged committed crimes unlawful deprivation liberty protivpravno lišenje slobode illicit performance sexual acts nedozvoljene polne radnje kragujevac first instance osnovni sud kragujevcu thereafter heard alleged victim well number witnesses furthermore took account statements given documentation obtained course preliminary meantime alleged victim provided well mothers courtcertified statements wherein fully recanted earlier accusing crimes question kragujevac first instance acquitted charges following remittal acquitted charges upheld kragujevac appeals apelacioni sud kragujevcu second instance thereby became final civil lodged civil defamation kragujevac high viši sud kragujevcu svetlost regarding two published articles ruled partly favour ordered svetlost pay jointly total serbian dinars rsd well statutory interest date account mental anguish suffered consequence breach honour reputation plus rsd furthermore ordered said two respondents publish without comment delay news magazine kragujevac high explained regards first specific reference thereof inter alia author stated committed crimes unlawful deprivation liberty false impersonation attempted rape despite latter still pending thereby breaching presumed innocent furthermore included untrue statement reported committed crime attempted rape even though known pressed charges particular respect second prepared specifically regards paragraphs thereof rejected plaintiffs noting piece written accurately based information provided lastly noted existence statement reiterated bearing present since given publication articles question kragujevac appeals partly amended delivered first instance ordered svetlost pay jointly total rsd approximately euros eur time account mental anguish suffered consequence breach honour reputation well statutory interest plus rsd approximately eur time obligation part respondents publish upheld reasoning essentially along lines offered kragujevac high kragujevac appeals nevertheless held inter alia award rsd excessive given existing interest informed incident question albeit appropriate manner also incorrectly stated title piece despite accurate text attempted rape underaged girl could considered figure someone withstand criticism since merely employed head municipal branch office local official službenik teritorijalnoj jedinici lokalne samouprave rulings relied inter alia relevant provisions obligations act information act summarised paragraphs constitutional lodged constitutional ustavnu žalbu kragujevac appeals constitutional ustavni sud dismissed noted inter alia unlawful divulge information concerning ongoing even information accurate breach ones presumed innocent appropriate balance struck one hand protection reputation concerned civil hand done properly served constitutional enforcement lodged enforcement request predlog izvršenje kragujevac first instance regards civil judgments paragraphs kragujevac first instance issued enforcement rešenje izvršenju bailiff izvršitelj ordered pay within three days sums question noted inter alia fail comply entire property would subject enforcement izvršenje celokupnoj imovini according information provided since unemployed lacking movable assets relevance enforcement procedure also civil judgments question yet enforced however stated flat living family could yet seek enforcement property confirmed civil judgments issue remained unenforced relevant facts statement given kragujevac high part civil defamation recounted publication articles question called asked pieces published response offered opportunity deny allegations newsmagazines next issue refused offer wanted debate matter media lastly informed would instead bringing regard visited neuropsychiatrist allegedly consequence distress suffered due publication articles date also provided certificate attesting temporarily incapable working average gross net monthly salaries kragujevac rsd rsd approximately eur eur respectively relevant framework jurisprudence obligations act zakon obligacionim odnosima published official gazette socialist federal republic yugoslavia nos well official gazette federal republic yugoslavia articles inter alia anyone suffered mental anguish consequence breach honour reputation depending duration intensity said mental anguish sue financial compensation civil addition request forms redress capable affording adequate nonpecuniary satisfaction information act zakon javnom informisanju published official gazette republic serbia nos provided prior publication information regarding occurrence certain journalist responsible editor verify origin veracity comprehensiveness due diligence provided inter alia protection ones privacy limited holders state political positions information question relevance given functions rights persons limited proportion justified interest provided inter alia editorinchief media outlet status responsible editor outlet responsible editor specific edition column programme held responsible contents edited provided inter alia media outlet could pronounce anyone guilty absence final another rendered connection provided inter alia suffered pecuniary andor nonpecuniary harm consequence incorrect incomplete information published media outlet due publication information breach act entitled adequate compensation quite apart available redress provided inter alia editorinchief founder media outlet would able establish due diligence inaccuracy incompleteness information prior publication bear joint liability pecuniary andor nonpecuniary damage caused publication information question obligation example also applied harm caused inadmissible publication accurate information regarding ones private life concerned accusations involving commission act subsequently amended decisions rendered constitutional ultimately repealed replaced legislation adopted city kragujevac establishment competencies municipal branch offices odluka obrazovanju delokrugu rada mesnih kancelarija published official gazette city kragujevac viii provided inter alia municipal branch offices established purpose making easier citizens concerned benefit services local level provided inter alia municipal branch offices perform technical tasks keep official records issue official certificates well prepare reports statistics context rules internal organisation job classification issued kragujevac office local selfgovernment affairs pravilnik unutrašnjoj organizaciji sistematizaciji radnih mesta gradskoj upravi mesnu samoupravu opštu upravu kragujevac rules provided inter alia executive employees working municipal branch offices could engage activities keeping official records issuing various certificates preparing reports statistics dealing civil matters could also take responsibilities specific request municipal officials encyclopaedia pravna enciklopedija volume savremena administracija belgrade needed necessary municipalities set local branch offices carry various functions effectively branch offices established bases municipal regulations statutima opština remit defined decisions adopted municipal assemblies odlukama opštinskih skupština heads local branch offices shall municipal employees appointed either municipal assemblies bodies authorised municipal assemblies,,,
1,born lives weinheim campaigner abortion operates antiabortion website distributed leaflets immediate vicinity medical practice leaflets contained inter alia following text front page know full name address performs abortions unlawful according caselaw federal constitutional wussten sie schon dass abtreibungen durchführt die nach der rechtsprechung des bundesverfassungsgerichts rechtswidrig sind underneath following smaller type according international aggravated murder intentional bringingtodeath innocent sinngemӓβ aus den internationalen strafgesetzen mord ist das vorsӓtzliche tode bringen eines unschuldigen menschen back side folded leaflet contained following text aggravated murder beings auschwitz unlawful morally degraded state allowed aggravated murder innocent people make subject liability die ermordung der menschen auschwitz war rechtswidrig aber der moralisch verkommene nsstaat hatte den mord den unschuldigen menschen erlaubt und nicht unter strafe gestellt quoted parts federal constitutional leading bverf regard abortion statement christoph wilhelm hufeland personal physician goethe schiller also cited conflicts pregnancy act asked readers make use influence performing assisting abortions letter requested sign declaration cease desist refused published following statement website full name carrying abortions publicly shows agrees abortions stand opinion instead considers leaflet campaign slander threatens interim injunction already given mandate lodge defamationslander ask unprincipled characterless wenn mit der durchführung von abtreibungen öffentlich bekundet dass für abtreibungen ist dann sollte auch dazu stehen stattdessen sieht der flugblatt verteilaktion eine rufmordkampagne droht mit einer einstweiligen verfügung und hat bereits seinem rechtsanwalt die vollmacht gegeben eine strafanzeige wegen beleidigung verleumdung erwirken wir fragen uns ist stand und charakterlos subsequently applied karlsruhe regional civil injunction ordering internet plaintiff performed unlawful abortions disseminate leaflets containing name assertion unlawful abortions performed medical practice also lodged nonpecuniary damages amount euros eur pretrial fees date oral karlsruhe regional distributed second leaflet directly front practice among places deposited second leaflet mentioned name letterboxes immediate vicinity latters practice following front side leaflet near unlawful abortions silent aggravated murder children ihrer nähe rechtswidrige abtreibungen und sie schweigen zum mord unseren kindern emphases original back folded leaflet contained following text prenatal infanticides meanwhile taken proportions bring mind new holocaust diese vorgeburtlichen kindstötungen haben mittlerweile ausmaße angenommen welche einen neuen holocaust erinnern emphases original farther leaflet simply unable understand medical personnel doctors supposed help save lives stoop take part aggravated murder noch weniger kann ich verstehen dass mediziner und ärzte welche helfen und leben retten sollen sich fürs morden hergeben karlsruhe regional granted requested injunction ordered desist asserting publicly writing orally internet well leaflets plaintiff performed unlawful abortions medical practice addition regional awarded compensation pecuniary damage requested plaintiff eur dismissed respect nonpecuniary damage held applicants statements protected contributed debate moreover classified statements information abortions unlawful line constitutional incorrect however conjunction whole leaflet statements pillory effect amounted serious interference personality rights justified applicants came conclusion based facts singled mentioning name distributing leaflets vicinity practice quoted federal constitutional parts omitted parts stated doctors subject liability implied defining aggravated murder committed associated holocaust nonetheless regard nonpecuniary damage concluded even though attacks reputation grave enough justify injunction sufficiently serious justify nonpecuniary damage appealed regional additionally expanded action include second leaflet subsequently became subject matter karlsruhe karlsruhe confirmed reasoning regional essence dismissed appeals however partly modified regional concerning precise wording requested injunction ordered desist asserting performed unlawful abortions medical practice asserting direct connection aggravated murder intentional bringingtodeath innocent ordered desist asserting performed unlawful abortions causing infanticide outset emphasised applicants view abortions subject liability compatible higherranking fell within applicants however also noted wording applicants statements showed labelled abortions performed plaintiff aggravated murder could tolerated neither statements considered statements considered value judgments view created unacceptable pillory effect singling plaintiff given reason regard noted involved debate abortions way regard second leaflet held even though mentioned name referred distributed front medical practice deposited letterboxes vicinity similarly first leaflet negligible part readers would understood leaflet professional activities constituted aggravated murder however even understood nonlegal sense leaflet made understood conducted illegal punishable abortions since clarified criticising abortions according caselaw federal constitutional unlawful subject liability exceeded limits justifiable criticism damages upheld firstinstance also grant leave points federal refused request aid denial leave points grounds applicants intended points lacked sufficient prospect success federal constitutional refused admit lodged adjudication inadmissible without providing reasons relevant domestic practice relevant domestic practice set annen,,,
2,company limited company aktsiaselts registered estonia background company owner delfi internet news portal publishes news articles day delfi one largest news portals internet estonia publishes news estonian russian estonia also operates latvia lithuania material time end body news articles words add comment fields comments commenters name email address optional fields buttons publish comment comments part reading comments left others separate area could accessed clicking comments button comments uploaded automatically edited moderated company articles received readers comments daily majority posted pseudonyms nevertheless system notifyandtakedown place reader could mark comment leim estonian word insulting mocking message message inciting hatred internet comment removed expeditiously furthermore system automatic deletion comments included certain stems obscene words addition victim defamatory comment could directly notify company comment removed immediately company made efforts advise users comments opinion authors comments responsible content delfis internet site rules comment included following delfi message board technical medium allowing users publish comments delfi edit comments author comment liable hisher comment worth noting estonian authors punished contents comment delfi prohibits comments content comply good practice comments contain threats contain insults incite hostility violence incite illegal activities contain obscene expressions vulgarities delfi remove comments restrict authors access writing comments functioning noticeandtakedown system also explained text submitted estonia delfi notorious history publishing defaming degrading comments thus weekly newspaper eesti ekspress published letter editorial board minister chief chancellor concern expressed incessant taunting people websites estonia delfi named source brutal arrogant mockery comments published internet news portal company published delfi portal heading slk destroyed planned ice road ice roads roads frozen sea open estonian mainland islands winter abbreviation slk stands saaremaa laevakompanii saaremaa shipping company limited company slk provides ferry transport service mainland islands member supervisory board slk companys sole majority shareholder material time attracted comments twenty contained personal threats offensive language directed lawyers requested company remove offensive comments claimed kroons eek approximately euros eur compensation nonpecuniary damage request concerned following twenty comments currents väinameri open water closer places referred ice thinner proposal lets lets kuressaare sticks put bag fucking shitheadsthey bath money anyways thanks monopoly state subsidies started fear cars drive islands couple days without anything filling purses burn ship sick jew good las initiative broken lines web flamers ahead guys oven little drown aha hardly believe happened accident assholes fck rascal russian whining kill bastard future ones know risk even one little life bloody lynched warn islanders wouldbe men nothing like done much deserves doesnt good man lives long shitty man day two iceroad one could easily save full car fckng pay economy takes hours ferries good icebreakers break ice pärnu port instead fcking monkey pass strait anyways drown fault cant anyone defy shits inhabitants saaremaa hiiumaa islands dope wonder whether wont trashed saaremaa screw ones owns like people chatter couple days internet crooks also backed elected represent pocket money pay attention flaming one gives shit big crooks also used boss around greed stroke back rip also strike back crooks sooner later sow shall reap nevertheless contained lynching state powerless respect really govern state live today tomorrow flood get blow cakedamn soon put cauldron fire smoke rising chimney sauna crows saaremaa thinking thata pig going slaughtered way bastards ofelia also ice class excuse ola required estonian state led scum financed scum course prevent punish antisocial acts scum well michaelmas compared rams michaelmas actually sorry acts sudden happen sick leave also next destruction ice road dear act like pig third time fucking bastard could gone home baby soon anyways company guarantee normal ferry service prices real creep question arises whose pockets mouths filled money hes acting like pig year year cant make bread shit paper internet stand everything fun really state care peoples opinion fun greed money pee ear also shit onto head day offensive comments removed company company responded request lawyers informed comments removed noticeandtakedown obligation refused damages civil company brought civil suit harju county company representatives company submitted inter alia like bronze night disorders related relocation bronze soldier monument delfi removed comments per day also initiative dismissed county found companys responsibility excluded information society services act infoühiskonna teenuse seadus based directive electronic commerce directive parliament certain aspects information society services particular electronic commerce internal market considered comment environment companys news portal distinguished portals journalistic area administration former company essentially mechanical passive nature company could considered publisher comments obligation monitor tallinn allowed considered county erred finding companys responsibility excluded information society services act county quashed referred back firstinstance new consideration declined hear companys harju county reexamined found accordance appeals instructions relied obligations act võlaõigusseadus deemed information society services act inapplicable observed company placed note internet site comments edited prohibited post comments contrary good practice company reserved remove comments system put place whereby users could notify company inappropriate comments however county considered insufficient allow adequate protection personality rights others found company considered publisher comments could avoid responsibility publishing disclaimer liable content comments county found news published delfi news portal balanced one number comments however vulgar form humiliating defamatory impaired honour dignity reputation comments went beyond justified criticism amounted simple insults concluded extend protection comments concerned personality rights violated awarded eek eur nonpecuniary damages tallinn upheld county emphasised company required exercise preliminary control comments posted news portal however chosen created effective system would ensured rapid removal unlawful comments portal considered measures taken company insufficient contrary principle good faith place burden monitoring comments potential victims rejected companys argument responsibility excluded basis information society services act noted company technical intermediary respect comments activity merely technical automatic passive nature instead invited users add comments thus company provider content services rather technical services dismissed companys upheld appeals substance partly modified reasoning approved lower interpretation information society services act reiterated information society service provider falling act directive electronic commerce neither knowledge control information transmitted stored contrast provider content services governed content information stored present company integrated comment environment news portal invited users post comments number comments effect number visits portal companys revenue advertisements published portal thus company economic interest comments company write comments imply control comment environment enacted rules comment removed comments rules breached users contrary could change delete comments posted could merely report obscene comments thus company could determine comments published made use possibility mean control publishing comments furthermore considered present company authors comments considered publishers comments context also referred economic interest internet portals administrator made publisher entrepreneur similarly publisher printed media found plaintiff free choose bring suit chosen bring suit company found basis obligation avoid causing damage persons company prevented clearly unlawful comments published furthermore comments published failed remove initiative although must aware unlawfulness rightly found companys failure act unlawful subsequent developments according information posted delfi internet portal delfi allow persons posted offensive comments post new comment commenter accepted rules commenting furthermore announced delfi set team moderators carried followup moderation comments posted portal first moderators reviewed user notices inappropriate comments compliance comments rules commenting monitored well according information published number comments posted delfis readers delfis moderators removed comments mainly consisting spam irrelevant comments share defamatory comments less total number comments relevant domestic practice constitution republic estonia eesti vabariigi põhiseadus provides ones honour good name shall defamed everyone free selfrealisation everyone shall honour consider rights freedoms others shall observe exercising rights freedoms fulfilling duties everyone freely disseminate ideas opinions beliefs information word print picture means restricted protect morals rights freedoms health honour good name others also restricted state local servants protect state business secret information received confidence become known reason office family private life others well interests censorship civil code general principles act tsiviilseadustiku üldosa seadus provides rights shall exercised obligations performed good faith shall exercised unlawful manner aim causing damage another obligations act võlaõigusseadus provides obligation compensate damage arising violation personality particular defamation obligated shall compensate aggrieved nonpecuniary damage justified gravity violation particular physical emotional distress obligations act provides tortfeasor unlawfully causes damage another victim shall compensate damage tortfeasor culpable süüdi causing damage liable vastutab causing damage pursuant obligations act stipulates causing damage unlawful inter alia damage caused violation personality victim obligations act provides unlawfulness damage personality rights defamation inter alia passing undue unjustified use name image breaching inviolability private life another personality unlawful unless otherwise provided upon establishment unlawfulness type violation reason motive violation gravity violation relative aim pursued thereby shall taken consideration violation personality unlawful violation justified view rights protected rights third interests unlawfulness shall established basis comparative assessment different rights interests protected unlawfulness disclosure incorrect information violation personality rights interference economic professional activities way disclosure avaldamine incorrect information incomplete misleading disclosure information concerning activities unlawful unless discloses information proves upon disclosure thereof aware required aware information incorrect incomplete disclosure defamatory matters concerning matters adversely affect economic situation deemed unlawful unless discloses matters proves statement makes true regardless provisions subsections disclosure information matters deemed unlawful discloses information matters matters disclosed legitimate interest disclosure discloses information checked information matters thoroughness corresponds gravity potential violation disclosure incorrect information victim demand disclosed information refute information publish correction expense regardless whether disclosure information unlawful prohibition damaging actions unlawful damage caused continually threat made unlawful damage caused victim threatened demand behaviour causes damage terminated making threats behaviour refrained bodily injury damage health violation inviolability personal life personality rights demanded inter alia tortfeasor prohibited approaching others restraining use housing communication regulated similar measures applied demand behaviour causes damage specified subsection terminated apply reasonable expect behaviour tolerated coexistence due significant interest victim make compensation damage caused unlawfully information society services act infoühiskonna teenuse seadus provides restricted liability upon mere transmission information provision access data communications network service provided consists mere transmission data communication network information provided recipient service provision access data communication network service provider liable information transmitted condition provider initiate transmission select receiver transmission select modify information contained transmission acts transmission provision access within meaning include automatic intermediate transient storage information transmitted far takes place sole purpose carrying transmission data communication network provided information stored period longer reasonably necessary transmission restricted liability upon temporary storage information cache memory service provided consists transmission data communication network information provided recipient service service provider liable automatic intermediate temporary storage information method transmission concerned requires caching technical reasons caching performed sole purpose making efficient informations onward transmission recipients service request condition provider modify information provider complies conditions access information provider complies rules regarding updating information specified manner widely recognised used industry provider interfere lawful use technology widely recognised used industry obtain data use information provider acts expeditiously remove disable access information stored upon obtaining actual knowledge information initial source transmission removed network access disabled state supervisory authority ordered removal restricted liability upon provision information storage service service provided consists storage information provided recipient service service provider liable information stored request recipient service condition provider actual knowledge contents information regards claims damages aware facts circumstances illegal activity information apparent provider upon obtaining knowledge awareness facts specified subparagraph acts expeditiously remove disable access information shall apply recipient service acting authority control provider obligation monitor service provider specified sections act obliged monitor information upon mere transmission thereof provision access thereto temporary storage thereof cache memory storage thereof request recipient service service provider obliged actively seek information circumstances indicating illegal activity provisions restrict official exercising supervision request disclosure information service provider service providers required promptly inform competent supervisory authorities alleged illegal activities undertaken information provided recipients services specified sections act communicate competent authorities information enabling identification recipients service storage agreements found purposes obligations act disclosure avaldamine meant disclosure information third transmitted information media publisher meediaväljaanne could considered discloser avaldaja even publisher ajaleheartikli avaldaja question reiterated position subsequent judgments example number domestic actions defamation brought several defendants including example publisher newspaper author publisher newspaper interviewee solely publisher newspaper iii relevant international materiala europe documents committee ministers europe adopted meeting ministers deputies declaration communication internet reads relevant part member states europe convinced also necessary limit liability service providers act mere transmitters good faith provide access host content third recalling respect directive parliament certain aspects information society services particular electronic commerce internal market directive electronic commerce stressing communication internet prejudice dignity rights fundamental freedoms others especially minors considering balance found respecting users internet disclose identity need enforcement authorities trace responsible acts declare seek abide following principles field communication internet principle content rules internet member states subject content internet restrictions applied means content delivery principle absence prior state control authorities general blocking filtering measures deny access information communication internet regardless frontiers prevent installation filters protection minors particular places accessible schools libraries provided safeguards convention protection rights fundamental freedoms respected measures taken enforce removal clearly identifiable internet content alternatively blockage access competent national authorities taken provisional final illegality principle limited liability service providers internet content member states impose service providers general obligation monitor content internet give access transmit store actively seeking facts circumstances indicating illegal activity member states ensure service providers held liable content internet function limited defined national transmitting information providing access internet functions service providers wider store content emanating member states hold coresponsible act expeditiously remove disable access information services soon become aware defined national illegal nature damages facts circumstances revealing illegality activity information defining national obligations service providers set previous due care must taken respect made information available first place well corresponding users information abovementioned limitations liability affect possibility issuing injunctions service providers required terminate prevent extent possible infringement principle anonymity ensure protection online surveillance enhance free information ideas member states respect users internet disclose identity prevent member states taking measures cooperating trace responsible acts accordance national convention protection rights fundamental freedoms international agreements fields documents directive directive parliament certain aspects information society services particular electronic commerce internal market directive electronic commerce provides free movement information society services many specific reflection community general principle namely enshrined convention protection rights fundamental freedoms ratified member states reason directives covering supply information society services must ensure activity engaged freely light subject restrictions laid treaty directive intended affect national fundamental rules principles relating exemptions liability established directive cover activity information society service provider limited technical process operating giving access communication network information made available third transmitted temporarily stored sole purpose making transmission efficient activity mere technical automatic passive nature implies information society service provider neither knowledge control information transmitted stored service provider benefit exemptions mere conduit caching way involved information transmitted requires among things modify information transmits requirement cover manipulations technical nature take place course transmission alter integrity information contained transmission service provider deliberately collaborates one recipients service undertake illegal acts goes beyond activities mere conduit caching result benefit liability exemptions established activities limitations liability intermediary service providers established directive affect possibility injunctions different kinds injunctions particular consist orders authorities requiring termination prevention infringement including removal illegal information disabling access benefit limitation liability provider information society service consisting storage information upon obtaining actual knowledge awareness illegal activities act expeditiously remove disable access information concerned removal disabling access undertaken observance principle procedures established purpose national level directive affect member states possibility establishing specific requirements must fulfilled expeditiously prior removal disabling information member states prevented imposing monitoring obligation service providers respect obligations general nature concern monitoring obligations specific particular affect orders national authorities accordance national legislation directive affect possibility member states requiring service providers host information provided recipients service apply duties care reasonably expected specified national detect prevent certain types illegal activities objective scope directive seeks contribute proper functioning internal market ensuring free movement information society services member states definitions purpose directive following terms shall bear following meaningsa information society services services within meaning directive amended directive ecb service provider natural providing information society servicec established service provider service provider effectively pursues economic activity using fixed establishment indefinite period presence use technical means technologies required provide service constitute establishment provider liability intermediary service providers mere conduit information society service provided consists transmission communication network information provided recipient service provision access communication network member states shall ensure service provider liable information transmitted condition providera initiate transmissionb select receiver transmission andc select modify information contained transmission acts transmission provision access referred include automatic intermediate transient storage information transmitted far takes place sole purpose carrying transmission communication network provided information stored period longer reasonably necessary transmission shall affect possibility authority accordance member states systems requiring service provider terminate prevent infringement caching information society service provided consists transmission communication network information provided recipient service member states shall ensure service provider liable automatic intermediate temporary storage information performed sole purpose making efficient informations onward transmission recipients service upon request condition thata provider modify informationb provider complies conditions access informationc provider complies rules regarding updating information specified manner widely recognised used industryd provider interfere lawful use technology widely recognised used industry obtain data use information ande provider acts expeditiously remove disable access information stored upon obtaining actual knowledge information initial source transmission removed network access disabled authority ordered removal disablement shall affect possibility authority accordance member states systems requiring service provider terminate prevent infringement hosting information society service provided consists storage information provided recipient service member states shall ensure service provider liable information stored request recipient service condition thata provider actual knowledge illegal activity information regards claims damages aware facts circumstances illegal activity information apparent orb provider upon obtaining knowledge awareness acts expeditiously remove disable access information shall apply recipient service acting authority control provider shall affect possibility authority accordance member states systems requiring service provider terminate prevent infringement affect possibility member states establishing procedures governing removal disabling access information general obligation monitor member states shall impose general obligation providers providing services covered articles monitor information transmit store general obligation actively seek facts circumstances indicating illegal activity member states establish obligations information society service providers promptly inform competent authorities alleged illegal activities undertaken information provided recipients service obligations communicate competent authorities request information enabling identification recipients service storage agreements directive amended directive directive parliament laying procedure provision information field technical standards regulations rules information society services amended directive provides purposes directive following meanings shall apply service information society service say service normally provided remuneration distance electronic means individual request recipient services purposes definition distance means service provided without simultaneously present electronic means means service sent initially received destination means electronic equipment processing including digital compression storage data entirely transmitted conveyed received wire radio optical means electromagnetic means individual request recipient services means service provided transmission data individual request indicative list services covered definition set annex vthis directive shall apply radio broadcasting services television broadcasting services covered point directive eec caselaw joined google france google ecr considered establish whether liability referencing service provider limited directive necessary examine whether role played service provider neutral sense conduct merely technical automatic passive pointing lack knowledge control data stores directive electronic commerce must interpreted meaning rule laid therein applies internet referencing service provider service provider played active role kind give knowledge control data stored played role service provider held liable data stored request advertiser unless obtained knowledge unlawful nature data advertisers activities failed act expeditiously remove disable access data concerned loréal others ruled directive interpreted applying operator online marketplace operator played active role allowing knowledge control data stored operator played role provided assistance entailed particular optimising presentation offers sale question promoting operator online marketplace played active role service provided fell consequence within scope directive operator none less could could result pay damages rely exemption liability provided aware facts circumstances basis diligent economic operator realised offers sale question unlawful aware failed act expeditiously accordance directive scarlet extended ruled injunction made internet service provider required install system filtering electronic communications passing via services particular involving use peertopeer software applied indiscriminately customers preventive measure exclusively expense unlimited period capable identifying providers network movement electronic files containing musical cinematographic audiovisual work respect claimed hold intellectual property rights view blocking transfer files sharing would infringe copyright,,,
3,newspaper published baku personality azerbaijani second founder editorinchief khural born lives baku applicants represented sadigov hajili lawyers based baku strasbourg respectively represented agent əsgərov facts summarised civil defamation first concerning wellknown highranking official head presidential administration ramiz mehdiyev alleged relationships prominent azerbaijani poet bakhtiyar vahabzade exhead executive authority sheki ashraf mammadov published khural title ramiz mehdiyevs plan finish bakhtiyar vahabzade head presidential administration punish sheki community head executive authority relevant extracts appear elchin ugurtaj mentioned author material submitted clear whether name question real pen name lodged civil action first narimanov district arguing abovementioned contained false statements damaging honour dignity professional reputation asked first issue apology refutation pay azerbaijani manats azn nonpecuniary damage transferred orphanage argued particular title impugned certain extracts defamatory extracts concerned followsi incident described called mafia press published gundam khabar happened one districts baku sheki one gravely insulted ordinary man bakhtiyar vahabzade famous azerbaijani poet yes exhead executive authority sheki ashraf mammadov given ramiz mehdiyev allow bakhtiyar vahabzade elected part serious plan manner mehdiyev wanted gain revenge bakhtiyar vahabzade hated many yearsii ashraf mammadovs black days began refused obey ramiz mehdiyevs one would forget wellknown events happened sheki parliamentary elections yes indeed scheme sheki community ashraf mammadov punished ramiz mehdiyev failed implement big plan plan crush bakhtiyar vahabzade sheki revenge takeniii rumoured late president heydar aliyev allow central election commission annul bakhtiyar vahabzades deputy mandate thus proved mehdiyev last word also rumoured mehdiyev taken initiativeiv bakhtiyar vahabzade became enemy ramiz mehdiyev latter played key role machine importing harmful ideas azerbaijan clear reason bakhtiyar vahabzade targeted turkic nationalist mehdiyev insulted bakhtiyar vahabzade also plotted conspiracy theories none succeeded mehdiyev taking revenge bakhtiyar vahabzade perpetuating name latters death according information submitted events cited one abovementioned statements refer riot broken sheki narimanov district allowed rms civil action finding title extracts defamatory firstinstance noted particular title extracts suggested hated therefore tried without success prevent elected member parliament organised events sheki punish disobeying tried bvs mandate called prevented memorialising latters death furthermore noted allegations statements affecting rms reputation lacking factual basis first failed submit proving allegations question constituted abuse firstinstance ordered first issue apology refutation first also ordered pay azn material time equivalent approximately euros eur respect nonpecuniary damage transferred orphanage requested plaintiff first appealed arguing publishing question performed role watchdog reporting topics high interest wellknown highranking official displayed greater degree tolerance criticism statements made constituted value judgments therefore susceptible proof merely reproduced commented information published earlier gundam khabar gündəm xəbər newspaper entitled mafia press mafiya mətbuat relevant part abovementioned published gundam khabar stated following exhead executive authority one biggest districts baku told happened said writer lived district many years run candidate parliamentary elections sometime elections ramiz mehdiyev called ordered ensure another indicated elected forced obey ramiz mehdiyevs baku upheld firstinstance reiterating grounds firstinstance referred first lodged cassation reiterating earlier complaints dismissed unfounded upheld lower judgments reiterating grounds lower referred developments according applicants publish apology refutation pay nonpecuniary damages ordered domestic according applicants property belonging first computers printers heating devices telephones seized qərardad given narimanov district day ensure payment award nonpecuniary damage question inter alia according applicants abovementioned seizure belongings khural ceased publication however appears internet version wwwxuralcom remained active clear whether newspaper resumed publication paper version later stage according published internet version khural publishing houses refused publish khural therefore first applicants staff decided publish new newspaper called asi asi̇ clear whether plan publish new newspaper ever came fruition relevant framework relevant parts civil code civil code provided protection honour dignity business reputation individual entitled obtain way retraction information harming honour dignity business reputation disclosing secrets relating private family life breaching personal family inviolability provided disseminated information fails prove information true rule shall also apply incomplete publication factual information result honour dignity business reputation individual harmed information harming honour dignity business reputation individual invading secrecy private family life disseminated mass media information shall retracted mass media source mass media publish information breaching individuals rights interests protected individual publish reply mass media source addition seek retraction information harming honour dignity business reputation individual compensation damage caused dissemination information,,,
