,Words,Count,T_Freq
0,article,1304,0.012619395546437246
1,information,998,0.00965809567127636
2,public,884,0.008554866306020342
3,right,802,0.007761315359081804
4,person,564,0.005458082122845558
5,act,523,0.005061306649376289
6,criminal,462,0.004470982164458595
7,statement,459,0.004441949812741331
8,also,434,0.0042000135484308015
9,section,418,0.004045174339272062
10,proceeding,399,0.0038613027783960595
11,could,385,0.0037258184703821626
12,decision,379,0.0036677537669476353
13,service,366,0.00354194690950616
14,relevant,351,0.0033967851509198415
15,interest,344,0.0033290429969128933
16,shall,340,0.0032903331946232085
17,one,335,0.0032419459417611022
18,freedom,335,0.0032419459417611022
19,code,334,0.0032322684911886813
20,state,316,0.0030580743808850995
21,data,316,0.0030580743808850995
22,party,315,0.0030483969303126785
23,paragraph,301,0.0029129126222987817
24,company,298,0.002883880270581518
25,time,297,0.002874202820009097
26,offence,286,0.0027677508637124638
27,first,280,0.0027096861602779365
28,published,274,0.0026516214568434093
29,made,272,0.002632266555698567
30,would,254,0.002458072445394985
31,personal,252,0.0024387175442501428
32,authority,251,0.0024290400936777213
33,request,250,0.0024193626431053003
34,question,249,0.0024096851925328793
35,found,247,0.002390330291388037
36,expression,244,0.002361297939670773
37,medium,242,0.0023419430385259307
38,provided,241,0.0023322655879535097
39,provision,237,0.002293555785663825
40,respect,237,0.002293555785663825
41,document,234,0.002264523433946561
42,protection,218,0.0021096842247878217
43,life,215,0.0020806518730705583
44,publication,215,0.0020806518730705583
45,prosecutor,215,0.0020806518730705583
46,stated,215,0.0020806518730705583
47,regional,215,0.0020806518730705583
48,held,213,0.002061296971925716
49,follows,213,0.002061296971925716
50,following,212,0.0020516195213532945
51,police,212,0.0020516195213532945
52,civil,212,0.0020516195213532945
53,see,212,0.0020516195213532945
54,office,212,0.0020516195213532945
55,particular,211,0.0020419420707808735
56,two,209,0.002022587169636031
57,member,207,0.0020032322684911887
58,damage,206,0.0019935548179187677
59,administrative,204,0.0019741999167739253
60,newspaper,201,0.0019451675650566614
61,part,198,0.0019161352133393978
62,access,193,0.0018677479604772918
63,year,192,0.0018580705099048706
64,letter,192,0.0018580705099048706
65,press,189,0.001829038158187607
66,concerning,187,0.0018096832570427648
67,regard,186,0.0018000058064703436
68,however,183,0.00177097345475308
69,professional,182,0.0017612960041806587
70,journalist,182,0.0017612960041806587
71,general,181,0.0017516185536082375
72,activity,180,0.0017419411030358163
73,concerned,179,0.001732263652463395
74,comment,178,0.001722586201890974
75,without,177,0.0017129087513185527
76,considered,177,0.0017129087513185527
77,national,176,0.0017032313007461315
78,breach,175,0.0016935538501737103
79,whether,174,0.001683876399601289
80,content,172,0.0016645214984564467
81,individual,170,0.0016451665973116042
82,official,170,0.0016451665973116042
83,account,167,0.0016161342455943406
84,action,166,0.0016064567950219194
85,view,166,0.0016064567950219194
86,federal,164,0.001587101893877077
87,given,163,0.0015774244433046558
88,reason,163,0.0015774244433046558
89,second,161,0.0015580695421598134
90,referred,160,0.0015483920915873922
91,district,160,0.0015483920915873922
92,opinion,159,0.001538714641014971
93,according,156,0.0015096822892977074
94,private,156,0.0015096822892977074
95,read,152,0.0014709724870080225
96,people,151,0.0014612950364356013
97,investigation,149,0.001441940135290759
98,officer,147,0.0014225852341459165
99,constitutional,146,0.0014129077835734955
100,convention,144,0.001393552882428653
101,subject,143,0.0013838754318562319
102,material,143,0.0013838754318562319
103,report,143,0.0013838754318562319
104,name,142,0.0013741979812838107
105,minister,142,0.0013741979812838107
106,lodged,141,0.0013645205307113895
107,even,138,0.0013354881789941259
108,file,138,0.0013354881789941259
109,event,137,0.0013258107284217046
110,purpose,136,0.0013161332778492834
111,conduct,136,0.0013161332778492834
112,day,136,0.0013161332778492834
113,duty,135,0.0013064558272768622
114,domestic,134,0.001296778376704441
115,eur,134,0.001296778376704441
116,taken,133,0.0012871009261320198
117,ordered,133,0.0012871009261320198
118,another,132,0.0012774234755595986
119,since,131,0.0012677460249871774
120,rule,130,0.0012580685744147562
121,use,130,0.0012580685744147562
122,therefore,129,0.001248391123842335
123,noted,129,0.001248391123842335
124,basis,129,0.001248391123842335
125,contained,128,0.0012387136732699138
126,dismissed,127,0.0012290362226974926
127,within,126,0.0012193587721250714
128,issue,124,0.001200003870980229
129,group,123,0.0011903264204078078
130,way,123,0.0011903264204078078
131,political,122,0.0011806489698353865
132,ground,122,0.0011806489698353865
133,circumstance,121,0.0011709715192629653
134,including,121,0.0011709715192629653
135,provides,121,0.0011709715192629653
