,Facts,Cluster,x0,x1
0,life warsaw represented gniady practising warsaw polish represented agent sobczak ministry foreign affair summarised lodged behalf client company formal notification crime contained following statement data exists sufficiently justify suspicion full name service committed bribe taking mean accepting bribe unknown probably employee company mentioned name say code document explained question committed connection investigation forging contract detriment client ongoing time particular alleged request filed course abovementioned investigation examined promptly shortcoming occurred overall investigation question prematurely unjustifiably discontinued ground insufficient justify suspicion crime committed expert report obtained view explanation irrational discontinue investigation charge investigation question bribed notification contain detail regarding allegedly offered bribe name company supposedly employed warsaw centre district refused open inquiry reasoning stated adduced single piece indicated factual circumstance substantiating bribery interlocutory lodged warsaw regional notified dean warsaw regional bar okręgowa rada adwokacka purpose establishing whether infringed rule professional ethic disciplinary officer rzecznik dyscyplinarny warsaw bar association charged failure act moderation umiar making professional capacity without reasonable suspicion nie mając temu uzasadnionych podejrzeń heard disciplinary officer reiterated information explained closed investigation regarding forged document without obtaining report forensic document examiner representative client asked lodged convinced bribed provide information respect circumstance bribe offered taken submitted discus corruption suspicion accompanied client couple meeting unspecified officer central anticorruption bureau centralne biuro antykorupcyjne cab indicate specific approximate date meeting first meeting submission taken place term office named former chief bureau one taken place new chief submitted cbas agent expressed interest information taken bribe disciplinary warsaw bar association sąd dyscyplinarny izby adwokackiej disciplinary client referring abovementioned found guilty making professional capacity without whatsoever objectively verifiable circumstance could justify suspicion formulated action breach bar act conjunction code professional ethic particular disciplinary analysed language content context referred submission client made first investigation alleged bribetaking directly disciplinary denied seen heard taking bribe discussed incident met cab also said far suspect money fund created adversary given would never life say taken money could remember specifically instructed file question confirmed surely acted disciplinary also referred submission made far could indicate exact date meeting cab placing provide name cab agent disciplinary analysed sequence relevant term office cab chief period investigation regarding forged document ongoing date approved discontinuation based abovementioned material disciplinary concluded version corroborated disciplinary observed distinct constitutional understanding restricted protect third party unjustified excessive unnecessary attack undoubtedly responsible filing question thus professional duty act moderation umiar proportionality współmierność caution oględność within meaning code professional ethic accordingly avoid making unsubstantiated indicate source information relied use conditional tense formulating considered language used clearly contrary principle derogatory dignity office whole fined amount equivalent twenty basic professional contribution bar association calculation contested fine question corresponds polish zloty pln approximately euro eur also banned professional tutor one year high disciplinary bar wyższy sąd dyscyplinarny adwokatury high disciplinary upheld essentially stressed irrespective client expectation diligently abide professional ethic pursuit greater general interest chamber sąd najwyższy dismissed cassation lodged manifestly illfounded charged pln approximately eur cost abovementioned disciplinary relevant frameworkdomestic lawprofessional responsibility practising polish pursuant bar act prawo adwokaturze practising profession enjoys within limit specified task bar provision particular abuse constituting insult defamation party party attorney participant lead disciplinary action professional responsibility practising set bar act provides subject disciplinary action inter alia conduct breach professional ethic dignity profession list disciplinary sanction imposed result include warning reprimand fine suspension professional activity three month five year disbarment reprimand fine accompanied ban acting professional tutor one five year conduct regulated advocate code professional ethic zbiór zasad etyki adwokackiej godności zawodu kodeks etyki adwokackiej adopted bar naczelna rada adwokacka entered force code ethic place advocate duty among others protect dignity profession breach dignity profession defined conduct could inter alia undermine confidence profession provides advocate responsible form content drafted insofar relevant advocate responsible veracity provided client however act moderation describing circumstance drastic little probable advocate guaranteed conduct professional activity act moderation caution making statement towards state authority infringe dignity profession reporting investigation pursuant code procedure kodeks postępowania karnego everyone learnt prosecuted officio committed civic duty obowiązek społeczny report pursuant code investigation shall instituted either officio upon notification crime reasonable suspicion uzasadnione podejrzenie committed international materialthe united nation convention corruption united nation convention corruption adopted general assembly resolution force since ratified poland provision regulate among thing participation society prevention fight corruption well protection reporting relevant provision participation society state party shall take appropriate measure within mean accordance fundamental principle domestic promote active participation individual group outside sector civil society nongovernmental organization communitybased organization prevention fight corruption raise awareness regarding existence gravity threat posed corruption participation strengthened measure asa enhancing transparency promoting contribution decisionmaking processesb ensuring effective access informationc undertaking information activity contribute nontolerance corruption well education programme including school university curriculad respecting promoting protecting seek receive publish disseminate information concerning corruption subject certain restriction shall provided necessaryi respect reputation others protection reporting state party shall consider incorporating domestic system appropriate measure provide protection unjustified treatment report good faith reasonable ground competent authority concerning established accordance convention europe convention corruption europe convention corruption ets ratified poland entered force respect country concerning protection collaborator party shall adopt measure necessary provide effective appropriate protection forum report established accordance otherwise cooperate investigating prosecuting authoritiesb give concerning europe civil convention corruption europe civil convention corruption ets ratified poland entered force respect country convention concern protection employee party shall provide internal appropriate protection unjustified sanction employee reasonable ground suspect corruption report good faith suspicion responsible authority,,,
1,born serving life prison pärnu prison requested governor pärnu prison access online version riigi teataja state gazette available internet iii hudoc database governor refused request subsequent dismissed pärnu tallinn dismissed appealed chamber delivered respect estonian legislation noted available paper version riigi teataja considered access paper version sufficient found prison refusal grant access online version riigi teataja lawful however noted primary official version riigi teataja online version since five control copy edition printed despite prison duty ensure detainee reasonable possibility searching familiarising act furthermore considered refusal prison administration grant detainee access interfered freely obtain information disseminated use given legislature specified restriction regard respect prisoner enshrined constitution republic estonia eesti vabariigi põhiseadus obtain information given equal level protection afforded liberty accordingly refusal pärnu prison grant access estonian unlawful tartu prison tartu prison transferred meantime refused request granted access internet site wwwcoeee europe information office tallinn wwwoiguskantsleree chancellor õiguskantsler wwwriigikoguee estonian parliament riigikogu according involved number prison administration needed access internet site able defend dismissed ministry tartu upheld respect internet site wwwcoeee ordered tartu prison grant supervised access site via computer adapted purpose noted tartu prison afforded detainee access online version riigi teataja database internet site referred imprisonment act vangistusseadus entered force noted internet site detainee granted access contained information english french whereas translation estonian available internet site europe information office tallinn considered burden translated estonian could placed concluded also granted access internet site wwwcoeee considered internet site similar database referred imprisonment act respect internet site wwwoiguskantsleree wwwriigikoguee found access site foreseen imprisonment act could request information directly institution concerned tartu prison party appealed tartu dismissed upheld firstinstance party challenged chamber referred plenary session point constitutionality plenary session dismissed upheld tartu prison quashed lower far granted access internet site wwwcoeee found internet site question fall exception provided imprisonment act thus determine whether provision conformity constitution found imprisonment act interfered enshrined constitution freely obtain information disseminated use noted aim imprisonment included protection steering detainee towards lawabiding behaviour possibility could technically excluded detainee might misuse use internet access internet prohibited imprisonment act exception made respect official database legislation database necessary ensure detainee afforded effective possibility protect taken account official text act accessible detainee via internet observed prohibition use internet necessary primarily restrict detainee ability engage communication purpose accord detention obtaining information could jeopardise prison security run counter directing detainee towards lawabiding behaviour granting detainee access additional internet site increased security risk obtaining information running contrary aim imprisonment moreover could create opportunity detainee use internet purpose freely obtaining information disseminated use thus concluded prohibition detainee access internet site wwwcoeee wwwoiguskantsleree wwwriigikoguee justified need achieve aim imprisonment particular need secure safety respect proportionality restriction considered denial detainee access internet site wwwcoeee wwwoiguskantsleree wwwriigikoguee prevented misusing internet via site safety thereby protected moreover granting detainee access internet site could increase risk engaging prohibited communication turn would necessitate increased level control therefore cost thus alternative equally effective mean besides prohibition imposed imprisonment act achieving legitimate aim question lastly noted detainee able contact riigikogu chancellor mail make request information teabenõue therefore detainee access information contained internet site question unduly restricted detainee access internet site guaranteed pursuant imprisonment act europe convention treaty ratified estonia accessible internet site wwwriigiteatajaee noted doubt printed work europe accessible prison library detainee prevented contacting europe post concluded restriction preventing detainee accessing internet site wwwoiguskantsleree wwwriigikoguee wwwcoeee one low intensity gave weight aim sought restriction considered permitting detainee extensive use internet would increase likelihood prison authority losing control detainee activity could completely excluded via internet site question detainee could use internet unauthorised purpose accordingly impugned restriction conformity constitution four eighteen delivered dissenting opinion according granted access three internet site question considered use internet site question generally pose threat safety conformity aim imprisonment unclear additional cost state would bear since line applicable prison equipped computer specially adapted allow detainee access official database legislation prison service exercised supervision use resource information available internet site question aided exercising recourse true detainee could also avail make request information timeconsuming avenue particularly internet site chancellor required knowledge information available internet site request information information act avaliku teabe seadus could made europe information office tallinn available hudoc database accessible detainee estonian unlike unofficial translation published internet site wwwcoeee could presumed detainee sufficient command english french able printed work europe available prison library include information published internet site europe information office tallinn thus four dissenting concluded restriction question unconstitutional relevant domestic constitution republic estonia eesti vabariigi põhiseadus provides everyone freely obtain information disseminated use information act avaliku teabe seadus stipulates condition procedure accessing information obtained created course carrying duty request information teabenõue made orally writing holder information subject certain exception must release information manner requested making request imprisonment act vangistusseadus entered force provides prisoner prohibited using internet except computer specially adapted said purpose prison allowed access supervision prison authority official database legislation database provision still force substantially amended iii relevant international instrumentsa europe document rule committee minister supervisionof execution term friendly adopted committee minister meeting minister deputy rule information committee minister execution supervising execution high contracting party concerned pursuant convention committee minister shall examineb required taking account discretion high contracting party concerned choose mean necessary comply whetherii general measure adopted preventing new violation similar found putting end continuing violation footnote relating provision mention example general measure taken publication language respondent state dissemination authority concerned meeting minister deputy committee minister europe adopted declaration communication internet relevant part declaration principle removal barrier participation individual information society member state foster encourage access internet communication information service nondiscriminatory basis affordable price furthermore active participation example setting running individual website subject licensing requirement similar effect recommendation cmrec committee minister member state guide internet user adopted relevant part recommendation internet service value people community authority private entity rely internet activity legitimate expectation service accessible provided without discrimination affordable secure reliable ongoing furthermore one subjected unlawful unnecessary disproportionate interference exercise fundamental using internet furthermore relevant part guide access nondiscrimination access internet important mean exercise participate democracy therefore disconnected internet except decided certain contractual arrangement also lead discontinuation service measure last resort information seek receive impart information idea choice without interference regardless frontier mean express online access information opinion others includes political speech view religion opinion favourably received regarded inoffensive also offend shock disturb others due regard reputation others including privacy restriction apply incite discrimination hatred violence restriction must lawful narrowly tailored executed oversight authority duty respect protect information restriction must arbitrary must pursue legitimate aim accordance convention among others protection national security health moral must comply moreover must made known coupled information way seek guidance redress broader maintained longer strictly necessary achieve legitimate aim international document special rapporteur promotion protection opinion stated following report ahrc internet medium exercised serve purpose state assume commitment develop effective policy attain universal access internet without concrete policy plan action internet become technological tool accessible certain elite perpetrating digital divide term digital divide refers gap people effective access digital information technology particular internet limited access digital divide also exist along wealth gender geographical social line within state special rapporteur thus concerned without internet access facilitates economic development enjoyment range marginalized group developing state remain trapped disadvantaged situation thereby perpetuating inequality within state economically developed state internet access recognized example parliament estonia passed legislation declaring internet access basic constitutional france effectively declared internet access fundamental constitutional costa rica reached similar going step finland passed decree stating every internet connection need speed least one megabit per second broadband level special rapporteur also take note according survey british broadcasting corporation interviewed country believe internet access fundamental given internet become indispensable tool realizing range combating inequality accelerating development progress ensuring universal access internet priority state state thus develop concrete effective policy consultation individual society including private sector relevant ministry make internet widely available accessible affordable segment population infrastructure internet access present special rapporteur encourages state support initiative ensure online information accessed meaningful way sector population including disability belonging linguistic minority,,,
2,born life glina background indicted sisak county županijski sud sisku county charge war crime civilian population alleged indictment participated killing four detained civilian taken glina prison executed assumed control president panel instructed several represent including related glina prison great interest television show called istraga investigation broadcast private television channel national coverage nova dedicated incident glina prison number prosecution heard statement prosecution stated come forward detained glina prison wanted provide prosecuting authority experienced detention explained advised another get touch certain however unable get touch later contacted journalist istraga taken part television show killing four civilian relation charged later made contact prosecuting authority volunteered testify colonel croatian army disabled war veteran active collecting otherwise promoting crime committed croat war croatia also advised editor istraga prepared several show relating different war croatia closing argument held alleged among thing prosecution politically motivated instigated contacted prosecution directly exerted pressure instructing testify also alleged instigated virulent medium campaign aimed portraying led enterprise closing argument reported several medium outlet convicted charged sentenced twelve year imprisonment however quashed vrhovni sud republike hrvatske remitted different panel county including panel county acquitted charge found proved taken four detained civilian glina prison surrendered armed group military policeman later executed however proved involved plan execute civilian known would executed confirmed acquittal defamation instituted private prosecution sisak municipal općinski sud sisku municipal charge defamation code connection statement made closing argument charge war crime defamation represented represented charge war crime argued given impugned statement reading preprepared script closing statement president panel summarised statement record also explained submitted written script file formed part closing statement denied using colloquial set indictment saying instigated politically motivated prosecution rodonačelnik led enterprise ujdurmu moreover submitted never referred enterprise closing statement however accepted stated exerted influence regard lodging explained oral given made believe appearance television show istraga moreover view changed mind also seen making contact corridor seen showing photograph according communicated particular one victim relative lodged medium particularly television show istraga objective reporting defamation explained attended said medium internet disturbed great deal comment attracted widespread medium attention even sought medical help also stated problem country said denied exerting influence explained active promoting truth happened war war crime contacted advised get touch relevant state attorney office attended several war crime including however never exerted pressure shown photograph regard particular explained influenced relation lodging met already started confirmed part activity related war assisted preparation several television show however none show worked ever mentioned also denied involvement television show istraga specifically dealt connection also explained television show issue prepared already started show influence regard opened regard contact stated met already started explained contacted people nova said contacted correspondent split asked advise contact state attorney office later come give sisak state attorney office met show office located municipal heard number obtained copy relevant record county requested presided panel first set questioned regard manner record prepared whether contacted however municipal hear oral municipal found guilty defamation fined equivalent ten daily wage amount totalling croatian kunas hrk approximately euro eur also specified failure pay fine within four month becoming final could result fine replaced community service also ordered pay hrk approximately eur fee hrk approximately eur cost expense respect representation relevant part conclusion responsibility defamation based statement well material file namely county record particular record written newspaper internet concerning medical record ipthis accepts oral given credible objective consistent adduced statement corroborated statement material statement whole confirmed also find despite discrepancy detail actually met ground cast doubt credibility since confirmed met day come sisak give statement state attorney given otherwise consistent file accepted credible convincing accepts given journalist attended find convincing credible doubt reliably objectively reported newspaper internet seen heard recorded reason accept given clearly convincingly explained met already started given view doubt sisak county charge war crime accused made impugned statement thus defamed claimant appears analysis statement obtained sisak county record issue lasted long time participant spoke accused accused gave oral statement essentially reading prepared script also appears occasion many verbal accused president panel accused given statement president panel summarised record record show accused stated amongst thing politically motivated process instigated rodonačelnik contacted prosecution directly exerted pressure instructing testify also instigated virulent medium campaign aimed portraying regard text accused contest used word rodonačelnik however doubt president panel correctly summarised accused statement record something confirmed journalist present use word ujdurma point journalist categorically stated accused used word refer claimant moreover another journalist stated occasion accused said croatian war veteran organisation explained reported newspaper accused mentioned name stating organised therefore doe accept accused utter impugned word reference claimant particularly since page eight written closing statement wrote amongst thing honourable real state affair truth aim politically motivated process directed organiser enterprise together group however accused doe contest closing statement stated contacted prosecution directly exerted pressure instructing testify also instigated virulent medium campaign aimed portraying led enterprise true impugned defamatory statement made context accused closing argument however obvious statement aimed supporting accused rather debasing claimant eye presenting leader organiser enterprise somebody exerted influence get change mind aimed damage honour reputation making closing argument accused supposed analyse examined argument prosecution statement particularly favour aim establishing innocence respect disputed crime however supposed damage others namely knowingly making incorrect unverified unsubstantiated overall context accused closing argument including impugned statement show made statement damage claimant honour reputation defend lawfully conducted basis examined find accused statement objective basis circumstance participated television show istraga way justify statement alleged conduct towards also find illogical according accused influenced get provide false statement would make contact corridor front accused instruct give false statement really exerted influence would logical would somewhere sight accused would avoid communicating front courtroom denial exerted influence confirmed heard accused also show aware lodged find illogical doe hold responsible prosecution also support view accused aim defame claimant defend interest accused statement misgiving concerning conduct became severe saw corridor showing photograph point denied logical attended would show photograph since could easily seen corridor courtroom appears record county statement accused three thus making closing statement despite pretrial detention opportunity verify whether stating correct however accused instead knowingly made incorrect defamatory aim damaging honour reputation accused wanted act good faith giving closing statement could made statement analysing course without making impugned defamatory ipthe make clear part accused closing statement instead aiming demonstrate innocence represented gratuitous ineffective unsubstantiated defamatory statement concerning reason known accused responsible attribute negative decisive importance everything happened clear presenting someone light seriously damage honour reputation indeed nothing positive good portrayed leader enterprise someone influence get provide false submit false like therefore accepted statement made heat moment closing argument view statement solely aimed damaging honour reputation attributing unlimited unlawful power influence accused unacceptable thus undermined entire system republic croatia prosecution lawful conduct perpetrator view established beyond doubt impugned statement concerning claimant false capable damaging honour reputation retired coronel croatian army statement reported medium felt seriously affected even sought medical help moreover statement attracted significant attention challenged county acted matter argued firstinstance failed appreciate circumstance especially legitimately led conclude led campaign particular influencing contended firstinstance taken account statement made context closing argument charge war crime statement distorted course medium reporting drafting record held county sitting panel three including present explicitly asked whether composition panel answered following county dismissed upheld endorsing reasoning municipal also remitted municipal reassessment cost expense ground firstinstance lacked relevant reasoning regard municipal found obliged pay fee owing limited financial resource however obliged pay hrk approximately eur representation became final allowed pay fine ten instalment hrk approximately eur informed municipal paid ten instalment meantime challenged defamation lodging constitutional constitutional ustavni sud republike hrvatske constitutional declared constitutional inadmissible manifestly illfounded endorsing reasoning lower relevant domestic relevant provision constitution republic croatia ustav republike hrvatske official gazette amendment restricted protect others moral health every restriction proportional nature necessity restriction individual everyone respect protection private life thought shall guaranteed shall include particular press medium speech free establishment medium institution relevant part code kazneni zakon official gazette amendment provides defamation whoever asserts disseminates falsehood another damage honour reputation shall punished fine ten one hundred fifty daily wage whoever press radio television front number assembly another way defamation becomes accessible large number asserts disseminates falsehood another damage honour reputation shall punished fine prof truth existence reasonable ground believe veracity expressed disseminated shall punished defamation punished insult reproaching someone reason finding honour reputation unlawful shall defamatory content referred expressed made accessible protection justifiable interest manner circumstance clearly conduct aimed damaging honour reputation another code proscribed false reporting making punishable fine maximum three year imprisonment code proscribed tampering making proper functioning judiciary punishable prison six month five year relevant provision code procedure zakon kaznenom postupku official gazette amendment concerning disqualification applicable time set zahirović croatia code procedure applicable time accused allowed remain silent answer question iii relevant international material parliamentary assembly europe adopted resolution entitled towards decriminalisation defamation relevant passage antidefamation pursue legitimate aim protecting reputation others assembly nonetheless urge member state apply utmost restraint since seriously infringe reason assembly insists procedural safeguard enabling anyone charged defamation substantiate statement absolve possible responsibility addition statement made interest even prove inaccurate punishable provided made without knowledge inaccuracy without intention harm truthfulness checked proper diligence,,,
