,Facts,Cluster,x0,x1
0,lives warsaw represented gniady practising warsaw polish represented agent sobczak ministry foreign affairs facts summarised lodged behalf client company formal notification crime contained following statement data exists sufficiently justify suspicion full name service committed bribe taking means accepting bribe unknown persons probably employees company mentioned name say code document explained question committed connection investigation allegations forging contracts detriment client ongoing time particular alleged requests filed course abovementioned investigation examined promptly shortcomings occurred overall investigation question prematurely unjustifiably discontinued grounds insufficient justify suspicion crime committed expert reports obtained view explanation irrational discontinue investigation charge investigation question bribed notification contain details regarding persons allegedly offered bribe name company supposedly employed warsaw centre district refused open inquiry allegations reasoning stated adduced single piece indicated factual circumstance substantiating allegations bribery interlocutory lodged warsaw regional notified dean warsaw regional bar okręgowa rada adwokacka applicants purpose establishing whether infringed rules professional ethics disciplinary officer rzecznik dyscyplinarny warsaw bar association charged failure act moderation umiar making professional capacity without reasonable suspicions nie mając temu uzasadnionych podejrzeń heard disciplinary officer reiterated information explained closed investigation regarding forged documents without obtaining report forensic document examiner representative applicants client asked lodged convinced bribed provide information respect circumstances bribe offered taken submitted discuss corruption suspicion accompanied client couple meetings unspecified officers central anticorruption bureau centralne biuro antykorupcyjne cab indicate specific approximate dates meetings first meeting submission taken place term office named former chief bureau one taken place new chief submitted cbas agents expressed interest information taken bribes disciplinary warsaw bar association sąd dyscyplinarny izby adwokackiej disciplinary client referring abovementioned found guilty making professional capacity without whatsoever objectively verifiable circumstances could justify suspicion formulated action breach bar act conjunction paragraphs lawyers code professional ethics paragraphs particular disciplinary analysed language content context referred submissions applicants client made first investigation alleged bribetaking directly disciplinary denied seen heard taking bribe discussed incident met cab also said far suspect money fund created adversary given prosecutors would never life say taken money could remember specifically instructed file question confirmed surely acted disciplinary also referred submissions made far could indicate exact dates meetings cab placing provide names cabs agents disciplinary analysed sequence relevant events term office cabs chief period investigation regarding forged documents ongoing date approved discontinuation based abovementioned material disciplinary concluded applicants version events corroborated disciplinary observed lawyers distinct constitutional understanding restricted protect third unjustified excessive unnecessary attacks rights undoubtedly responsible filing question thus professional duty act moderation umiar proportionality współmierność caution oględność within meaning lawyers code professional ethics accordingly lawyers avoid making unsubstantiated complaints indicate sources information relied use conditional tense formulating allegations considered language used clearly contrary principles derogatory dignity prosecutors office whole fined amount equivalent twenty basic professional contributions bar association applicants calculation contested fine question corresponds polish zlotys pln approximately euros eur also banned professional tutor one year high disciplinary bar wyższy sąd dyscyplinarny adwokatury high disciplinary upheld essentially stressed irrespective clients expectations diligently abide professional ethics pursuit greater general interest chamber sąd najwyższy dismissed cassation lodged manifestly illfounded charged pln approximately eur abovementioned disciplinary relevant frameworkdomestic lawprofessional responsibility practising lawyers polish pursuant bar act prawo adwokaturze practising professions enjoys within limits specified tasks bar provisions particular abuse constituting insult defamation party partys attorney participants lead disciplinary action professional responsibility practising lawyers set bar act provides lawyers subject disciplinary action inter alia conduct breach professional ethics dignity profession lists disciplinary sanctions imposed result include warning reprimand fine suspension professional activities three months five years disbarment reprimand fine accompanied ban acting professional tutor one five years conduct lawyers regulated advocates code professional ethics zbiór zasad etyki adwokackiej godności zawodu kodeks etyki adwokackiej adopted bar naczelna rada adwokacka entered force code ethics places advocates duty among others protect dignity profession breach dignity profession defined conduct could inter alia undermine confidence profession provides advocates responsible form content pleadings drafted paragraphs insofar relevant advocate responsible veracity facts provided client however act moderation describing circumstances drastic little probable advocate guaranteed conduct professional activities act moderation caution making statements towards state authorities infringe dignity profession reporting investigation offences pursuant code procedure kodeks postępowania karnego everyone learnt prosecuted officio committed civic duty obowiązek społeczny report pursuant code investigation shall instituted either officio upon notification crime reasonable suspicion uzasadnione podejrzenie committed international materialthe united nations convention corruption united nations convention corruption adopted general assembly resolution force since ratified poland provisions regulate among things participation society prevention fight corruption well protection reporting persons relevant provisions participation society state party shall take appropriate measures within means accordance fundamental principles domestic promote active participation individuals groups outside sector civil society nongovernmental organizations communitybased organizations prevention fight corruption raise awareness regarding existence causes gravity threat posed corruption participation strengthened measures asa enhancing transparency promoting contribution decisionmaking processesb ensuring effective access informationc undertaking information activities contribute nontolerance corruption well education programmes including school university curriculad respecting promoting protecting seek receive publish disseminate information concerning corruption subject certain restrictions shall provided necessaryi respect rights reputations others protection reporting persons state party shall consider incorporating domestic system appropriate measures provide protection unjustified treatment reports good faith reasonable grounds competent authorities facts concerning offences established accordance convention europes convention corruption europes convention corruption ets ratified poland entered force respect country concerning protection collaborators witnesses reads party shall adopt measures necessary provide effective appropriate protection fora report offences established accordance articles otherwise cooperate investigating prosecuting authoritiesb witnesses give concerning offences europes civil convention corruption europes civil convention corruption ets ratified poland entered force respect country convention concerns protection employees reads party shall provide internal appropriate protection unjustified sanction employees reasonable grounds suspect corruption report good faith suspicion responsible persons authorities,,,
1,born serving life prison applicants pärnu prison requested governor pärnu prison access online version riigi teataja state gazette decisions available internet iii hudoc database judgments rights governor refused request applicants subsequent dismissed pärnu tallinn dismissed appealed chamber delivered respect estonian legislation rulings noted available paper version riigi teataja considered access paper version sufficient found prisons refusal grant access online version riigi teataja lawful however noted primary official version riigi teataja online version since five control copies edition printed despite prisons duty ensure detainees reasonable possibility searching familiarising acts furthermore considered refusal prison administration grant detainees access rulings rights interfered freely obtain information disseminated use given legislature specified restrictions regard respect prisoners enshrined constitution republic estonia eesti vabariigi põhiseadus obtain information given equal level protection afforded persons liberty accordingly refusal pärnu prison grant access rulings estonian rights unlawful applicants tartu prison tartu prison transferred meantime refused applicants request granted access internet sites wwwcoeee europe information office tallinn wwwoiguskantsleree chancellor õiguskantsler wwwriigikoguee estonian parliament riigikogu according involved number disputes prison administration needed access internet sites able defend rights applicants dismissed ministry tartu upheld applicants respect internet site wwwcoeee ordered tartu prison grant supervised access site via computer adapted purpose noted tartu prison afforded detainees access online version riigi teataja database decisions internet sites rights referred paragraphs imprisonment act vangistusseadus entered force noted internet site rights detainees granted access contained information english french whereas translations estonian rulings rights available internet site europe information office tallinn considered burden rulings rights translated estonian could placed concluded also granted access internet site wwwcoeee considered internet site similar database decisions referred imprisonment act respect internet sites wwwoiguskantsleree wwwriigikoguee found access sites foreseen imprisonment act could request information directly institutions concerned tartu prison appealed tartu dismissed appeals upheld firstinstance challenged chamber referred plenary session point constitutionality plenary session dismissed applicants upheld tartu prisons quashed lower judgments far granted access internet site wwwcoeee found internet sites question fall exceptions provided imprisonment act thus determine whether provision conformity constitution found imprisonment act interfered enshrined constitution freely obtain information disseminated use noted aims imprisonment included protection steering detainees towards lawabiding behaviour possibility could technically excluded detainees might misuse use internet access internet prohibited imprisonment act exception made respect official databases legislation database decisions necessary ensure detainees afforded effective possibility protect rights taken account official texts acts accessible detainees via internet observed prohibition use internet necessary primarily restrict detainees ability engage communication purposes accord detention obtaining information could jeopardise prisons security run counter directing detainees towards lawabiding behaviour granting detainees access additional internet site increased security risk obtaining information running contrary aims imprisonment moreover could create opportunity detainees use internet purposes freely obtaining information disseminated use thus concluded prohibition detainees access internet sites wwwcoeee wwwoiguskantsleree wwwriigikoguee justified need achieve aims imprisonment particular need secure safety respect proportionality restriction considered denial detainees access internet sites wwwcoeee wwwoiguskantsleree wwwriigikoguee prevented misusing internet via sites safety thereby protected moreover granting detainees access internet sites could increase risk engaging prohibited communication turn would necessitate increased levels control therefore thus alternative equally effective means besides prohibition imposed imprisonment act achieving legitimate aim question lastly noted detainees able contact riigikogu chancellor mail make request information teabenõue therefore detainees access information contained internet sites question unduly restricted detainees access internet site rights guaranteed pursuant imprisonment act europes conventions treaties ratified estonia accessible internet site wwwriigiteatajaee noted doubt printed works europe accessible prison libraries detainees prevented contacting europe post concluded restriction preventing detainees accessing internet sites wwwoiguskantsleree wwwriigikoguee wwwcoeee one low intensity gave weight aim sought restriction considered permitting detainees extensive use internet would increase likelihood prison authorities losing control detainees activities could completely excluded via internet sites question detainees could use internet unauthorised purposes accordingly impugned restriction conformity constitution four judges eighteen delivered dissenting opinion according granted access three internet sites question considered use internet sites question generally pose threat safety conformity aims imprisonment unclear additional state would bear since line applicable prisons equipped computers specially adapted allow detainees access official databases legislation decisions prison service exercised supervision use resources information available internet sites question aided exercising recourse true detainees could also avail make request information timeconsuming avenue particularly internet site chancellor required knowledge information available internet sites request information information act avaliku teabe seadus could made europe information office tallinn rulings rights available hudoc database accessible detainees estonian unlike unofficial translations published internet site wwwcoeee could presumed detainees sufficient command english french able printed works europe available prison libraries include information published internet site europe information office tallinn thus four dissenting judges concluded restriction question unconstitutional relevant domestic constitution republic estonia eesti vabariigi põhiseadus provides everyone freely obtain information disseminated use information act avaliku teabe seadus stipulates conditions procedure accessing information obtained created course carrying duties request information teabenõue made orally writing holder information subject certain exceptions must release information manner requested making request imprisonment act vangistusseadus entered force provides prisoners prohibited using internet except computers specially adapted said purpose prison allowed access supervision prison authorities official databases legislation database decisions provision still force substantially amended iii relevant international instrumentsa europe documents rules committee ministers supervisionof execution judgments terms friendly settlements adopted committee ministers meeting ministers deputies rule information committee ministers execution supervising execution high contracting party concerned pursuant convention committee ministers shall examineb required taking account discretion high contracting party concerned choose means necessary comply whetherii general measures adopted preventing new violations similar found putting end continuing violations footnote relating provision mentions example general measures taken publication language respondent state dissemination authorities concerned meeting ministers deputies committee ministers europe adopted declaration communication internet relevant part declaration reads principle removal barriers participation individuals information society member states foster encourage access internet communication information services nondiscriminatory basis affordable price furthermore active participation example setting running individual websites subject licensing requirements similar effect recommendation cmrec committee ministers member states guide rights internet users adopted relevant part recommendation reads internet service value people communities authorities private entities rely internet activities legitimate expectation services accessible provided without discrimination affordable secure reliable ongoing furthermore one subjected unlawful unnecessary disproportionate interference exercise rights fundamental freedoms using internet furthermore relevant parts guide access nondiscrimination access internet important means exercise rights freedoms participate democracy therefore disconnected internet except decided certain contractual arrangements also lead discontinuation service measure last resort information seek receive impart information ideas choice without interference regardless frontiers means express online access information opinions expressions others includes political speech views religion opinions expressions favourably received regarded inoffensive also offend shock disturb others due regard reputation rights others including privacy restrictions apply expressions incite discrimination hatred violence restrictions must lawful narrowly tailored executed oversight authorities duty respect protect information restrictions must arbitrary must pursue legitimate aim accordance convention rights among others protection national security health morals must comply rights moreover must made known coupled information ways seek guidance redress broader maintained longer strictly necessary achieve legitimate aim international documents rights councils special rapporteur promotion protection opinion stated following report rights ahrc internet medium exercised serve purpose states assume commitment develop effective policies attain universal access internet without concrete policies plans action internet become technological tool accessible certain elite perpetrating digital divide term digital divide refers gap people effective access digital information technologies particular internet limited access digital divides also exist along wealth gender geographical social lines within states special rapporteur thus concerned without internet access facilitates economic development enjoyment range rights marginalized groups developing states remain trapped disadvantaged situation thereby perpetuating inequality within states economically developed states internet access recognized example parliament estonia passed legislation declaring internet access basic constitutional france effectively declared internet access fundamental constitutional costa rica reached similar going step finland passed decree stating every internet connection needs speed least one megabit per second broadband level special rapporteur also takes note according survey british broadcasting corporation interviewed countries believe internet access fundamental given internet become indispensable tool realizing range rights combating inequality accelerating development progress ensuring universal access internet priority states state thus develop concrete effective policy consultation individuals sections society including private sector relevant ministries make internet widely available accessible affordable segments population infrastructure internet access present special rapporteur encourages states support initiatives ensure online information accessed meaningful way sectors population including persons disabilities persons belonging linguistic minorities,,,
2,born lives glina background indicted sisak county županijski sud sisku county charges war crimes civilian population alleged indictment participated killing four detained civilians taken glina prison executed assumed control president panel instructed several lawyers represent including events related glina prison great interest television show called istraga investigation broadcast private television channel national coverage nova dedicated incident glina prison number witnesses prosecution heard statement prosecution stated come forward allegations detained glina prison wanted provide prosecuting authorities experienced detention explained advised another get touch certain however unable get touch later contacted journalist istraga taken part television show killing four civilians relation charged later made contact prosecuting authorities volunteered testify colonel croatian army disabled war veteran active collecting otherwise promoting crimes committed croats war croatia also advised editors istraga prepared several shows relating different events war croatia closing arguments held alleged among things prosecution politically motivated instigated contacted prosecution witnesses directly exerted pressure instructing testify also alleged instigated virulent media campaign aimed portraying led enterprise applicants closing arguments reported several media outlets convicted charged sentenced twelve years imprisonment however quashed vrhovni sud republike hrvatske remitted different panel county including panel county acquitted charges found proved taken four detained civilians glina prison surrendered armed group military policemen later executed however proved involved plan execute civilians known would executed confirmed applicants acquittal defamation instituted private prosecution sisak municipal općinski sud sisku municipal charges defamation code connection statements made closing arguments charges war crimes defamation represented represented charges war crimes argued given impugned statement reading preprepared script closing statement president panel summarised statement record also explained submitted written script file formed part closing statement denied using colloquial expressions set indictment saying instigated politically motivated prosecution rodonačelnik led enterprise ujdurmu moreover submitted never referred enterprise closing statement however accepted stated exerted influence regards witnesses lodging explained oral given made believe appearance television show istraga moreover view witnesses changed minds also seen making contact witnesses corridor hearings seen showing applicants photographs witnesses according communicated particular one victims relatives lodged media particularly television show istraga objective reporting defamation explained attended said media internet disturbed great deal comments attracted widespread media attention even sought medical help also stated problems countries said denied exerting influence witnesses explained active promoting truth happened war witnesses war crimes contacted advised get touch relevant state attorneys office attended several war crimes hearings including applicants however never exerted pressure witnesses shown applicants photographs witnesses regard particular explained influenced relation lodging met already started confirmed part activities related war assisted preparation several television shows however none shows worked ever mentioned also denied involvement television show istraga specifically dealt applicants connection also explained television show issue prepared already started show influence regards opened regard contact stated met already started explained contacted people nova said contacted correspondent split asked advise contact state attorneys office later come give sisak state attorneys office met show office located municipal heard number witnesses obtained copies relevant records county requested presided panel first set questioned regards manner record prepared whether contacted however municipal hear oral municipal found guilty defamation fined equivalent ten daily wages amount totalling croatian kunas hrk approximately euros eur also specified failure pay fine within four months becoming final could result fine replaced community service also ordered pay hrk approximately eur fees hrk approximately eur ips expenses respect representation relevant parts conclusion applicants responsibility defamation based statements well material file namely county records hearings particular record applicants written newspaper internet articles concerning medical records ipthis accepts oral given credible objective consistent adduced ips statement corroborated statements witnesses material statement whole confirmed also finds despite discrepancies details actually met grounds cast doubt credibility since confirmed met day come sisak give statement state attorney given otherwise consistent file accepted credible convincing accepts given witnesses journalists attended finds convincing credible doubt reliably objectively reported newspapers internet seen heard recorded reason accept given clearly convincingly explained met already started given view doubt sisak county charges war crimes accused made impugned statement thus defamed claimant appears analysis statements obtained sisak county record issue lasted long time participants spoke accused accused gave oral statement essentially reading prepared script also appears occasion many verbal disputes accused president panel accused given statement president panel summarised record record shows accused stated amongst things politically motivated process instigated rodonačelnik contacted prosecution witnesses directly exerted pressure instructing testify also instigated virulent media campaign aimed portraying regards text accused contests used word rodonačelnik however doubt president panel correctly summarised accuseds statement record something confirmed journalist present use word ujdurma points witnesses journalists categorically stated accused used word refer claimant moreover another journalist stated occasion accused said croatian war veterans organisation explained reported newspapers accused mentioned name stating organised therefore accept accused utter impugned words reference claimant particularly since page eight written closing statement wrote amongst things honourable real state affairs truth aim politically motivated process directed organiser enterprise together group however accused contest closing statement stated contacted prosecution witnesses directly exerted pressure instructing testify also instigated virulent media campaign aimed portraying led enterprise true impugned defamatory statements made context accuseds closing arguments however obvious statements aimed supporting accuseds rather debasing claimant eyes presenting leader organiser enterprise somebody exerted influence witnesses get change minds aimed damage ips honour reputation making closing arguments accused supposed analyse examined arguments prosecution statements particularly favour aim establishing innocence respect disputed crimes however supposed damage others namely knowingly making incorrect unverified unsubstantiated claims overall context accuseds closing arguments including impugned statements shows made statements damage claimants honour reputation defend lawfully conducted basis examined finds accuseds statements objective basis circumstances participated television show istraga way justify applicants statement ips alleged conduct towards also finds illogical according accused influenced witnesses get provide false statements would make contact witnesses corridor front accused instruct give false statements really exerted influence witnesses would logical would somewhere sight accused would avoid communicating front courtroom ips denial exerted influence witnesses confirmed witnesses heard accuseds also shows aware lodged finds illogical hold responsible prosecution also supports view accuseds aim defame claimant defend rights interests accuseds statement misgivings concerning ips conduct became severe saw corridor showing photographs witnesses points denied logical attended hearings would show photographs witnesses since witnesses could easily seen corridor courtroom appears records county statements accused three lawyers thus making closing statement despite pretrial detention opportunity verify lawyers whether stating correct however accused instead knowingly made incorrect defamatory allegations aim damaging honour reputation accused wanted act good faith giving closing statement could made statement analysing course without making impugned defamatory claims ipthe makes clear part accuseds closing statement instead aiming demonstrate innocence represented gratuitous ineffective unsubstantiated defamatory statements concerning reasons known accused sees responsible attributes negative decisive importance everything happened clear presenting someone light seriously damages persons honour reputation indeed nothing positive good portrayed leader enterprise someone influences witnesses get provide false submit false complaints like therefore accepted statements made heat moment closing arguments view statements solely aimed damaging ips honour reputation attributing unlimited unlawful powers influence accused unacceptable thus undermined entire system republic croatia prosecution offences lawful conduct perpetrators offences view established beyond doubt impugned statements concerning claimant false capable damaging honour reputation retired coronel croatian army statements reported media felt seriously affected even sought medical help moreover statements attracted significant attention challenged county acted matter argued firstinstance failed appreciate circumstances especially legitimately led conclude led campaign particular influencing witnesses contended firstinstance taken account statements made context closing arguments charges war crimes statements distorted course media reporting events drafting record held county sitting panel three judges including applicants present explicitly asked whether composition panel answered following county dismissed applicants upheld endorsing reasoning municipal also remitted municipal reassessment expenses grounds firstinstance lacked relevant reasoning regard municipal found obliged pay fees owing limited financial resources however obliged pay hrk approximately eur ips representation became final allowed pay fine ten instalments hrk approximately eur informed municipal paid ten instalments meantime challenged defamation lodging constitutional constitutional ustavni sud republike hrvatske constitutional declared applicants constitutional inadmissible manifestly illfounded endorsing reasoning lower relevant domestic relevant provisions constitution republic croatia ustav republike hrvatske official gazette amendments rights freedoms restricted protect rights freedoms others morals health every restriction rights freedoms proportional nature necessity restriction individual everyone respect protection private life thought shall guaranteed shall include particular press media speech free establishment media institutions relevant part code kazneni zakon official gazette amendments provides defamation whoever asserts disseminates falsehood another damage persons honour reputation shall punished fine ten one hundred fifty daily wages whoever press radio television front number persons assembly another way defamation becomes accessible large number persons asserts disseminates falsehood another damage persons honour reputation shall punished fine proves truth existence reasonable grounds believe veracity expressed disseminated shall punished defamation punished insult reproaching someone reasons finding offences honour reputation unlawful shall defamatory content referred paragraphs expressed made accessible persons protection justifiable interests manner circumstances clearly conduct aimed damaging honour reputation another code proscribed false reporting making punishable fine maximum three years imprisonment code proscribed tampering making proper functioning judiciary punishable prison six months five years relevant provisions code procedure zakon kaznenom postupku official gazette amendments concerning disqualification judges applicable time set zahirović croatia code procedure applicable time accused allowed remain silent answer questions iii relevant international material parliamentary assembly europe adopted resolution entitled towards decriminalisation defamation relevant passages antidefamation laws pursue legitimate aim protecting reputation rights others assembly nonetheless urges member states apply laws utmost restraint since seriously infringe reason assembly insists procedural safeguards enabling anyone charged defamation substantiate statements absolve possible responsibility addition statements allegations made interest even prove inaccurate punishable provided made without knowledge inaccuracy without intention harm truthfulness checked proper diligence,,,
