,Words,Count,T_Freq
0,article,4062,0.011457131655473728
1,public,2601,0.00733628740420659
2,right,2599,0.007330646275868099
3,information,2272,0.0064083217925249404
4,decision,1815,0.005119323967179915
5,criminal,1786,0.005037527606271806
6,act,1722,0.004857011499440118
7,person,1637,0.004617263545054282
8,also,1593,0.004493158721607496
9,state,1552,0.004377515590668446
10,freedom,1506,0.00424776963888317
11,statement,1466,0.004134947072113364
12,prosecutor,1424,0.004016483377005068
13,proceeding,1306,0.003683656805034143
14,shall,1245,0.00351160239071019
15,relevant,1224,0.003452370543156042
16,section,1177,0.003319804027201521
17,one,1158,0.0032662133079858634
18,constitutional,1134,0.00319851976792398
19,member,1117,0.003150570177046813
20,authority,1100,0.0031026205861696458
21,paragraph,1040,0.002933386736014938
22,could,1032,0.0029108222226609764
23,expression,1001,0.0028233847334143774
24,offence,997,0.002812102476737397
25,medium,995,0.0028064613483989066
26,time,993,0.0028008202200604164
27,opinion,936,0.002640048062413444
28,party,926,0.0026118424207209924
29,code,913,0.002575175086520806
30,would,880,0.0024820964689357167
31,follows,878,0.0024764553405972264
32,police,871,0.0024567113914125104
33,event,871,0.0024567113914125104
34,office,870,0.002453890827243265
35,action,865,0.0024397880063970396
36,see,861,0.002428505749720059
37,organisation,850,0.0023974795438583625
38,published,845,0.0023833767230121367
39,held,818,0.002307221490442518
40,district,814,0.0022959392337655376
41,report,810,0.002284656977088557
42,journalist,808,0.002279015848750067
43,newspaper,798,0.0022508102070576156
44,part,792,0.002233886822042145
45,company,790,0.0022282456937036546
46,first,786,0.002216963437026674
47,activity,785,0.002214142872857429
48,made,782,0.0022056811803496936
49,following,765,0.0021577315894725263
50,question,764,0.002154911025303281
51,provision,763,0.002152090461134036
52,concerning,726,0.0020477295868719663
53,particular,710,0.002002600560164044
54,religious,708,0.0019969594318255536
55,president,702,0.001980036046810083
56,administrative,694,0.001957471533456122
57,found,688,0.001940548148440651
58,material,685,0.0019320864559329157
59,interest,680,0.0019179836350866901
60,people,680,0.0019179836350866901
61,stated,664,0.001872854608378768
62,provided,655,0.0018474695308555618
63,national,651,0.0018361872741785813
64,view,650,0.0018333667100093362
65,two,649,0.001830546145840091
66,official,648,0.0018277255816708457
67,considered,634,0.001788237683301414
68,damage,634,0.001788237683301414
69,investigation,634,0.001788237683301414
70,political,618,0.0017431086565934918
71,taken,614,0.0017318263999165113
72,without,609,0.0017177235790702856
73,constitution,608,0.0017149030149010405
74,respect,605,0.0017064413223933051
75,civil,604,0.00170362075822406
76,request,603,0.001700800194054815
77,general,601,0.0016951590657163246
78,according,590,0.001664132859854628
79,regional,590,0.001664132859854628
80,detention,587,0.0016556711673468927
81,human,575,0.0016218243973159512
82,procedure,574,0.001619003833146706
83,day,564,0.0015907981914542546
84,read,563,0.0015879776272850095
85,publication,560,0.0015795159347772741
86,measure,559,0.001576695370608029
87,individual,551,0.001554130857254068
88,russian,548,0.0015456691647463326
89,ground,547,0.0015428486005770875
90,election,546,0.0015400280364078424
91,officer,544,0.0015343869080693521
92,year,543,0.001531566343900107
93,within,534,0.0015061812663769007
94,issue,520,0.001466693368007469
95,document,519,0.0014638728038382238
96,minister,508,0.0014328465979765272
97,whether,506,0.001427205469638037
98,must,505,0.0014243849054687919
99,including,505,0.0014243849054687919
100,basis,505,0.0014243849054687919
101,protection,501,0.0014131026487918114
102,press,499,0.001407461520453321
103,regard,498,0.001404640956284076
104,submitted,498,0.001404640956284076
105,service,486,0.0013707941862531343
106,group,475,0.001339767980391438
107,given,473,0.0013341268520529477
108,force,472,0.0013313062878837025
109,expert,471,0.0013284857237144574
110,however,469,0.0013228445953759672
111,parliament,462,0.001303100646191251
112,therefore,459,0.0012946389536835157
113,rule,453,0.001277715568668045
114,access,452,0.0012748950044987998
115,even,446,0.001257971619483329
116,committed,444,0.0012523304911448388
117,well,444,0.0012523304911448388
118,life,443,0.0012495099269755937
119,extremist,441,0.0012438687986371035
120,social,441,0.0012438687986371035
