,Facts,Cluster,x0,x1
0,life warsaw represented gniady practising warsaw polish represented agent sobczak ministry foreign affair summarised follows lodged behalf client company formal notification crime contained following statement data exists sufficiently justify suspicion prosecutor full name prosecutor service committed offence bribe taking mean accepting bribe unknown person probably employee company mentioned name say offence article criminal code document explained offence question committed connection investigation forging contract detriment client ongoing time particular alleged request filed course abovementioned investigation examined promptly shortcoming occurred overall investigation question prematurely unjustifiably discontinued ground insufficient justify suspicion crime committed expert report obtained prosecutor view explanation irrational decision discontinue investigation mp prosecutor charge investigation question bribed notification contain detail regarding person allegedly offered bribe prosecutor name company supposedly employed warsaw centre district prosecutor refused open inquiry reasoning decision prosecutor stated adduced single piece indicated factual circumstance substantiating bribery interlocutory lodged decision warsaw regional prosecutor notified dean warsaw regional bar okręgowa rada adwokacka criminal purpose establishing whether infringed rule professional ethic disciplinary officer rzecznik dyscyplinarny warsaw bar association charged failure act moderation umiar making professional capacity criminal without reasonable suspicion nie mając ku temu uzasadnionych podejrzeń heard disciplinary officer reiterated information criminal explained prosecutor mp closed investigation regarding forged document without obtaining report forensic document examiner representative client asked criminal lodged convinced prosecutor mp bribed provide information respect circumstance bribe offered taken submitted discus corruption suspicion accompanied client couple meeting unspecified officer central anticorruption bureau centralne biuro antykorupcyjne cab indicate specific approximate date meeting first meeting submission taken place term office named former chief bureau one taken place new chief submitted cbas agent expressed interest information mp taken bribe disciplinary warsaw bar association sąd dyscyplinarny izby adwokackiej disciplinary client referring abovementioned found guilty making professional capacity criminal without whatsoever objectively verifiable circumstance could justify suspicion formulated action breach section bar act conjunction paragraph code professional ethic see paragraph particular disciplinary analysed language content context criminal referred submission client made first criminal investigation alleged bribetaking directly disciplinary denied seen heard mp taking bribe discussed incident met cab also said go far suspect money fund created adversary given prosecutor would never life say mp taken money could remember specifically instructed file criminal question confirmed surely acted disciplinary also referred submission made far could indicate exact date meeting cab placing provide name cab agent disciplinary analysed sequence relevant event term office cab chief period investigation regarding forged document ongoing date mp approved discontinuation based abovementioned material disciplinary concluded version event corroborated disciplinary observed freedom expression distinct constitutional understanding right restricted protect third party unjustified excessive unnecessary attack right undoubtedly responsible filing question thus professional duty act moderation umiar proportionality współmierność caution oględność within meaning paragraph code professional ethic see paragraph accordingly avoid making unsubstantiated indicate source information relied use conditional tense formulating considered language used clearly contrary principle derogatory dignity mp prosecutor office whole fined amount equivalent twenty basic professional contribution bar association calculation contested fine question corresponds polish zloty pln approximately euro eur also banned professional tutor one year high disciplinary bar wyższy sąd dyscyplinarny adwokatury high disciplinary upheld decision essentially stressed irrespective client expectation diligently abide professional ethic pursuit greater general interest criminal chamber sąd najwyższy dismissed cassation lodged manifestly illfounded charged pln approximately eur cost abovementioned disciplinary proceeding relevant frameworkdomestic lawprofessional responsibility practising polish pursuant section bar act prawo adwokaturze practising profession enjoys freedom expression within limit specified task bar provision particular abuse freedom constituting insult defamation party party attorney participant proceeding lead disciplinary action professional responsibility practising set section bar act provides subject disciplinary action inter alia conduct breach professional ethic dignity profession section list disciplinary sanction imposed result proceeding include warning reprimand fine suspension professional activity three month five year disbarment reprimand fine accompanied ban acting professional tutor one five year conduct regulated advocate code professional ethic zbiór zasad etyki adwokackiej godności zawodu kodeks etyki adwokackiej adopted bar naczelna rada adwokacka entered force code ethic place advocate duty among others protect dignity profession paragraph breach dignity profession defined conduct could inter alia undermine confidence profession paragraph paragraph provides advocate responsible form content drafted paragraph read insofar relevant follows advocate responsible veracity provided client however act moderation describing circumstance drastic little probable advocate freedom expression guaranteed conduct professional activity act moderation caution making statement towards state authority infringe dignity profession reporting investigation criminal offence pursuant article code criminal procedure kodeks postępowania karnego everyone learnt criminal offence prosecuted ex officio committed civic duty obowiązek społeczny report offence prosecutor police pursuant article code investigation shall instituted either ex officio upon notification crime reasonable suspicion uzasadnione podejrzenie criminal offence committed international materialthe united nation convention corruption united nation convention corruption adopted general assembly resolution force since ratified poland provision regulate among thing participation society prevention fight corruption well protection reporting person relevant provision read follows article participation society state party shall take appropriate measure within mean accordance fundamental principle domestic promote active participation individual group outside public sector civil society nongovernmental organization communitybased organization prevention fight corruption raise public awareness regarding existence gravity threat posed corruption participation strengthened measure asa enhancing transparency promoting contribution public decisionmaking processesb ensuring public effective access informationc undertaking public information activity contribute nontolerance corruption well public education programme including school university curriculad respecting promoting protecting freedom seek receive publish disseminate information concerning corruption freedom subject certain restriction shall provided necessaryi respect right reputation others article protection reporting person state party shall consider incorporating domestic system appropriate measure provide protection unjustified treatment person report good faith reasonable ground competent authority concerning offence established accordance convention europe criminal convention corruption europe criminal convention corruption ets ratified poland entered force respect country article concerning protection collaborator read follows party shall adopt measure necessary provide effective appropriate protection forum report criminal offence established accordance article otherwise cooperate investigating prosecuting authoritiesb give concerning offence europe civil convention corruption europe civil convention corruption ets ratified poland entered force respect country article convention concern protection employee read follows party shall provide internal appropriate protection unjustified sanction employee reasonable ground suspect corruption report good faith suspicion responsible person authority,,,
1,born serving life prison pärnu prison requested governor pärnu prison access online version riigi teataja state gazette ii decision administrative available internet iii hudoc database european human right governor refused request subsequent dismissed pärnu administrative tallinn dismissed appealed administrative chamber delivered respect estonian legislation noted available paper version riigi teataja considered access paper version sufficient found prison refusal grant access online version riigi teataja lawful however noted primary official version riigi teataja online version since five control copy edition printed despite prison duty ensure detainee reasonable possibility searching familiarising act furthermore considered refusal prison administration grant detainee access administrative european human right interfered right freely obtain information disseminated public use given legislature specified restriction regard respect prisoner right enshrined article constitution republic estonia eesti vabariigi põhiseadus obtain information given equal level protection afforded person liberty accordingly refusal pärnu prison grant access estonian administrative european human right unlawful tartu prison tartu prison transferred meantime refused request granted access internet site wwwcoeee europe information office tallinn wwwoiguskantsleree chancellor õiguskantsler wwwriigikoguee estonian parliament riigikogu according involved number prison administration needed access internet site able defend right dismissed ministry tartu administrative upheld respect internet site wwwcoeee ordered tartu prison grant supervised access site via computer adapted purpose administrative noted tartu prison afforded detainee access online version riigi teataja database decision internet site european human right administrative referred see paragraph section imprisonment act vangistusseadus see paragraph entered force noted internet site european human right detainee granted access contained information english french whereas translation estonian european human right available internet site europe information office tallinn administrative considered burden european human right translated estonian could placed concluded also granted access internet site wwwcoeee considered internet site similar database decision referred section imprisonment act respect internet site wwwoiguskantsleree wwwriigikoguee found access site foreseen section imprisonment act could request information directly institution concerned tartu prison party appealed tartu dismissed upheld firstinstance party challenged administrative chamber referred plenary session point constitutionality plenary session dismissed upheld tartu prison quashed lower far granted access internet site wwwcoeee found internet site question fall exception provided section imprisonment act see paragraph thus determine whether provision conformity constitution found section imprisonment act interfered right enshrined article constitution freely obtain information disseminated public use noted aim imprisonment included protection steering detainee towards lawabiding behaviour possibility could technically excluded detainee might misuse right use internet access internet prohibited section imprisonment act exception made respect official database legislation database decision necessary ensure detainee afforded effective possibility protect right taken account official text act accessible detainee via internet observed prohibition use internet necessary primarily restrict detainee ability engage communication purpose accord detention obtaining information could jeopardise prison security run counter directing detainee towards lawabiding behaviour granting detainee access additional internet site increased security risk obtaining information running contrary aim imprisonment moreover could create opportunity detainee use internet purpose freely obtaining information disseminated public use thus concluded prohibition detainee access internet site wwwcoeee wwwoiguskantsleree wwwriigikoguee justified need achieve aim imprisonment particular need secure public safety respect proportionality restriction considered denial detainee access internet site wwwcoeee wwwoiguskantsleree wwwriigikoguee prevented misusing internet via site public safety thereby protected moreover granting detainee access internet site could increase risk engaging prohibited communication turn would necessitate increased level control therefore cost thus alternative equally effective mean besides prohibition imposed section imprisonment act achieving legitimate aim question lastly noted detainee able contact riigikogu chancellor mail make request information teabenõue therefore detainee access public information contained internet site question unduly restricted detainee access internet site european human right guaranteed pursuant section imprisonment act europe convention treaty ratified estonia accessible internet site wwwriigiteatajaee noted doubt printed work europe accessible prison library detainee prevented contacting europe post concluded restriction preventing detainee accessing internet site wwwoiguskantsleree wwwriigikoguee wwwcoeee one low intensity gave weight aim sought restriction considered permitting detainee extensive use internet would increase likelihood prison authority losing control detainee activity could completely excluded via internet site question detainee could use internet unauthorised purpose accordingly impugned restriction conformity constitution four eighteen delivered dissenting opinion according granted access three internet site question considered use internet site question generally pose threat public safety conformity aim imprisonment unclear additional cost state would bear since line applicable prison equipped computer specially adapted allow detainee access official database legislation decision prison service exercised supervision use resource information available internet site question aided exercising right recourse true detainee could also avail right make request information timeconsuming avenue particularly internet site chancellor required knowledge information available internet site request information public information act avaliku teabe seadus could made europe information office tallinn european human right available hudoc database accessible detainee estonian unlike unofficial translation published internet site wwwcoeee could presumed detainee sufficient command english french able read printed work europe available prison library include information published internet site europe information office tallinn thus four dissenting concluded restriction question unconstitutional ii relevant domestic article constitution republic estonia eesti vabariigi põhiseadus provides everyone right freely obtain information disseminated public use public information act avaliku teabe seadus stipulates condition procedure accessing information obtained created course carrying public duty request information teabenõue made orally writing section holder information subject certain exception must release information manner requested person making request section section imprisonment act vangistusseadus entered force provides prisoner prohibited using internet except computer specially adapted said purpose prison allowed access supervision prison authority official database legislation database decision provision still force substantially amended iii relevant international instrumentsa europe document rule committee minister supervisionof execution term friendly adopted committee minister th meeting minister deputy read follows rule information committee minister execution supervising execution high contracting party concerned pursuant article paragraph convention committee minister shall examineb required taking account discretion high contracting party concerned choose mean necessary comply whetherii general measure adopted preventing new violation similar found putting end continuing violation footnote relating provision mention example general measure taken publication language respondent state dissemination authority concerned th meeting minister deputy committee minister europe adopted declaration freedom communication internet relevant part declaration read follows principle removal barrier participation individual information society member state foster encourage access internet communication information service nondiscriminatory basis affordable price furthermore active participation public example setting running individual website subject licensing requirement similar effect recommendation cmrec committee minister member state guide human right internet user adopted relevant part recommendation read follows internet public service value people community public authority private entity rely internet activity legitimate expectation service accessible provided without discrimination affordable secure reliable ongoing furthermore one subjected unlawful unnecessary disproportionate interference exercise human right fundamental freedom using internet furthermore relevant part guide read follows access nondiscrimination access internet important mean exercise right freedom participate democracy therefore disconnected internet except decided certain contractual arrangement also lead discontinuation service measure last resort freedom expression information right seek receive impart information idea choice without interference regardless frontier mean freedom express online access information opinion expression others includes political speech view religion opinion expression favourably received regarded inoffensive also offend shock disturb others due regard reputation right others including right privacy restriction apply expression incite discrimination hatred violence restriction must lawful narrowly tailored executed oversight public authority duty respect protect freedom expression freedom information restriction freedom must arbitrary must pursue legitimate aim accordance european convention human right among others protection national security public public health moral must comply human right moreover must made known coupled information way seek guidance redress broader maintained longer strictly necessary achieve legitimate aim international document un human right special rapporteur promotion protection right freedom opinion expression stated following report human right ahrc internet medium right freedom expression exercised serve purpose state assume commitment develop effective policy attain universal access internet without concrete policy plan action internet become technological tool accessible certain elite perpetrating digital divide term digital divide refers gap people effective access digital information technology particular internet limited access digital divide also exist along wealth gender geographical social line within state special rapporteur thus concerned without internet access facilitates economic development enjoyment range human right marginalized group developing state remain trapped disadvantaged situation thereby perpetuating inequality within state economically developed state internet access recognized right example parliament estonia passed legislation declaring internet access basic human right constitutional france effectively declared internet access fundamental right constitutional costa rica reached similar decision going step finland passed decree stating every internet connection need speed least one megabit per second broadband level special rapporteur also take note according survey british broadcasting corporation interviewed country believe internet access fundamental human right given internet become indispensable tool realizing range human right combating inequality accelerating development human progress ensuring universal access internet priority state state thus develop concrete effective policy consultation individual section society including private sector relevant ministry make internet widely available accessible affordable segment population infrastructure internet access present special rapporteur encourages state support initiative ensure online information accessed meaningful way sector population including person disability person belonging linguistic minority,,,
2,born life glina background indicted sisak county županijski sud sisku county charge war crime civilian population alleged indictment participated killing four detained civilian taken glina prison executed sm assumed control president panel proceeding instructed several represent including zk event related glina prison great public interest television show called istraga investigation broadcast private television channel national coverage nova tv dedicated incident glina prison criminal proceeding number prosecution heard statement prosecution stated come forward detained glina prison wanted provide prosecuting authority experienced detention explained advised another proceeding pš get touch certain ip however unable get touch ip later contacted journalist istraga taken part television show killing four civilian event relation charged later made contact prosecuting authority volunteered testify proceeding ip colonel croatian army disabled war veteran active collecting otherwise promoting crime committed croat war croatia also advised editor istraga prepared several show relating different event war croatia closing argument held alleged among thing criminal prosecution politically motivated instigated ip contacted prosecution directly exerted pressure instructing testify also alleged ip instigated virulent medium campaign aimed portraying criminal led criminal enterprise closing argument reported several medium outlet convicted charged sentenced twelve year imprisonment however quashed vrhovni sud republike hrvatske remitted different panel county including sm see paragraph panel county acquitted charge found proved taken four detained civilian glina prison surrendered armed group military policeman later executed however proved involved plan execute civilian known would executed confirmed acquittal defamation proceeding ip instituted private criminal prosecution sisak municipal općinski sud sisku municipal charge defamation offence article criminal code connection statement made closing argument criminal proceeding charge war crime see paragraph defamation proceeding represented zk represented criminal proceeding charge war crime see paragraph argued given impugned statement reading preprepared script closing statement president panel summarised statement record also explained submitted written script file formed part closing statement denied using colloquial expression set indictment saying ip instigated politically motivated prosecution rodonačelnik led criminal enterprise ujdurmu moreover submitted never referred criminal enterprise closing statement however accepted stated ip exerted influence regard lodging criminal explained oral given criminal proceeding made believe appearance television show istraga see paragraph moreover view changed mind proceeding also seen ip making contact corridor seen showing photograph according ip communicated particular one victim relative sk lodged criminal medium particularly television show istraga objective reporting defamation proceeding ip explained attended read said medium internet disturbed great deal comment attracted widespread medium attention even sought medical help also stated problem country said ip denied exerting influence criminal proceeding explained active promoting truth happened war war crime contacted advised get touch police relevant state attorney office attended several war crime including however never exerted pressure shown photograph regard sk particular ip explained influenced relation lodging criminal met proceeding already started ip confirmed part activity related war assisted preparation several television show however none show worked ever mentioned also denied involvement television show istraga specifically dealt connection ip also explained television show issue prepared criminal proceeding already started show influence regard criminal opened regard contact ip stated met proceeding already started ip explained contacted people nova tv said contacted correspondent split ip asked advise contact police state attorney office later come give sisak state attorney office ip met show office located municipal heard number obtained copy relevant record county requested sm presided panel first set criminal proceeding questioned regard manner record prepared whether contacted ip proceeding however municipal hear oral sm municipal found guilty defamation fined equivalent ten daily wage amount totalling croatian kunas hrk approximately euro eur also specified failure pay fine within four month becoming final could result fine replaced community service also ordered pay hrk approximately eur fee hrk approximately eur ip cost expense respect representation relevant part read follows conclusion responsibility defamation based statement ip jf mp žg vr sk pš well material file namely county record criminal particular record written newspaper internet article concerning medical record ipthis accepts oral given ip credible objective consistent adduced proceeding ip statement corroborated statement žg jf sk pš material statement whole confirmed also find despite discrepancy detail ip actually met ground cast doubt credibility since ip confirmed met day come sisak give statement state attorney given otherwise consistent file accepted credible convincing accepts given žg jf mp journalist attended find convincing credible doubt reliably objectively reported newspaper internet seen heard recorded reason accept given sk clearly convincingly explained met ip proceeding already started given proceeding view doubt sisak county criminal proceeding charge war crime accused made impugned statement thus defamed claimant appears analysis statement obtained proceeding sisak county record issue lasted long time participant proceeding spoke accused accused gave oral statement essentially reading prepared script also appears occasion many verbal accused president panel accused given statement president panel summarised record record show accused stated amongst thing politically motivated process instigated rodonačelnik ip contacted prosecution directly exerted pressure instructing testify criminal proceeding also instigated virulent medium campaign aimed portraying criminal regard text accused contest used word rodonačelnik however doubt president panel correctly summarised accused statement record something confirmed journalist present use word ujdurma point jf mp journalist categorically stated accused used word refer claimant moreover žg another journalist stated occasion accused said croatian war veteran criminal organisation žg explained reported newspaper accused mentioned name ip stating organised therefore doe accept accused utter impugned word reference claimant particularly since page eight written closing statement wrote amongst thing honourable real state affair truth aim politically motivated process directed organiser criminal enterprise ip together criminal group however accused doe contest closing statement stated ip contacted prosecution directly exerted pressure instructing testify also instigated virulent medium campaign aimed portraying criminal led criminal enterprise true impugned defamatory statement made context accused closing argument however obvious statement aimed supporting accused rather debasing claimant ip eye public presenting leader organiser criminal enterprise somebody exerted influence proceeding get change mind aimed damage ip honour reputation making closing argument accused supposed analyse examined proceeding argument prosecution statement particularly favour aim establishing innocence respect disputed crime however supposed damage others namely ip knowingly making incorrect unverified unsubstantiated overall context accused closing argument including impugned statement show made statement damage claimant honour reputation defend lawfully conducted criminal proceeding basis examined proceeding find accused statement objective basis circumstance participated television show istraga way justify statement ip alleged conduct towards also find illogical ip according accused influenced get provide false statement would make contact corridor front accused instruct give false statement really exerted influence would logical would somewhere sight accused would avoid communicating front courtroom ip denial exerted influence confirmed heard proceeding accused also show aware criminal lodged sk find illogical doe hold responsible prosecution ip also support view accused aim defame claimant defend right interest criminal proceeding accused statement misgiving concerning ip conduct became severe saw ip corridor showing photograph point denied ip logical ip attended proceeding would show photograph since could easily seen corridor courtroom appears record county proceeding statement dr tš accused three proceeding thus making closing statement despite pretrial detention opportunity verify whether stating ip correct however accused instead knowingly made incorrect defamatory ip aim damaging honour reputation accused wanted act good faith giving closing statement could made statement analysing course proceeding without making impugned defamatory ipthe make clear part accused closing statement instead aiming demonstrate innocence represented gratuitous ineffective expression unsubstantiated defamatory statement concerning ip person reason known accused see responsible criminal proceeding attribute ip negative decisive importance everything happened proceeding clear presenting someone light seriously damage person honour reputation indeed nothing positive good portrayed leader criminal enterprise someone influence get provide false submit false criminal like therefore accepted statement made heat moment closing argument view statement solely aimed damaging ip honour reputation attributing unlimited unlawful power influence criminal proceeding accused unacceptable thus undermined entire system republic croatia prosecution criminal offence lawful conduct criminal proceeding perpetrator offence view established beyond doubt impugned statement concerning claimant ip false capable damaging honour reputation retired coronel croatian army statement reported medium felt seriously affected even sought medical help moreover statement attracted significant public attention challenged county acted matter argued firstinstance failed appreciate circumstance especially legitimately led conclude ip led campaign particular influencing contended firstinstance taken account statement made context closing argument criminal proceeding charge war crime statement distorted course medium reporting event sm drafting record held county sitting panel three including sm zk present explicitly asked whether composition panel zk answered following county dismissed upheld criminal endorsing reasoning municipal also remitted municipal reassessment cost expense proceeding ground firstinstance lacked relevant reasoning regard municipal found obliged pay fee owing limited financial resource however obliged pay hrk approximately eur ip representation decision became final allowed pay fine ten instalment hrk approximately eur informed municipal paid ten instalment meantime challenged defamation lodging constitutional constitutional ustavni sud republike hrvatske constitutional declared constitutional inadmissible manifestly illfounded endorsing reasoning lower ii relevant domestic relevant provision constitution republic croatia ustav republike hrvatske official gazette amendment read follows article right freedom restricted protect right freedom others public moral health every restriction right freedom proportional nature necessity restriction individual article everyone right respect protection private life article freedom thought expression shall guaranteed freedom expression shall include particular freedom press medium freedom speech public expression free establishment medium institution relevant part criminal code kazneni zakon official gazette amendment provides defamation article whoever asserts disseminates falsehood another person damage person honour reputation shall punished fine ten one hundred fifty daily wage whoever press radio television front number person public assembly another way defamation becomes accessible large number person asserts disseminates falsehood another person damage person honour reputation shall punished fine prof truth existence reasonable ground believe veracity expressed disseminated shall punished defamation punished insult reproaching someone criminal offence reason finding offence honour reputation unlawful article shall criminal offence event defamatory content referred paragraph article expressed made accessible person right protection justifiable interest manner expression circumstance clearly follows conduct aimed damaging honour reputation another article criminal code proscribed false reporting criminal offence making punishable fine maximum three year imprisonment article criminal code proscribed tampering making offence proper functioning judiciary punishable prison six month five year relevant provision code criminal procedure zakon kaznenom postupku official gazette amendment concerning disqualification proceeding applicable time set zahirović croatia article code criminal procedure applicable time accused allowed remain silent answer question iii relevant international material parliamentary assembly europe adopted resolution entitled towards decriminalisation defamation relevant passage read follows antidefamation pursue legitimate aim protecting reputation right others assembly nonetheless urge member state apply utmost restraint since seriously infringe freedom expression reason assembly insists procedural safeguard enabling anyone charged defamation substantiate statement absolve possible criminal responsibility addition statement made public interest even prove inaccurate punishable provided made without knowledge inaccuracy without intention harm truthfulness checked proper diligence,,,
