Case,Violation
001-223656,1
001-211828,1
001-160270,1
001-210075,0
001-203169,1
001-209444,1
001-158880,1
001-140771,1
001-204835,1
001-186118,0
001-126635,0
001-219482,0
001-197216,1
001-158467,0
001-220570,1
001-182627,1
001-163354,1
001-206212,1
001-174614,1
001-186119,0
001-170857,1
001-140016,0
001-215642,0
001-172661,1
001-126797,1
001-155974,1
001-138568,1
001-174992,1
001-156272,1
001-211817,0
001-219046,1
001-203181,1
001-170464,1
001-155196,1
001-208598,1
001-220573,1
001-209863,1
001-171974,1
001-203180,1
001-192769,1
001-119969,0
001-144139,1
001-223654,1
001-208412,1
001-168372,1
001-172458,1
001-205898,1
001-144129,1
001-142969,1
001-196480,1
001-177695,1
001-217480,1
001-150798,1
001-186123,0
001-195605,1
001-174404,0
001-210884,1
001-204601,1
001-184654,1
001-147623,0
001-219042,0
001-178362,1
001-211813,1
001-187188,0
001-174996,0
001-217535,1
001-160088,0
001-213790,1
001-207929,1
001-192785,0
001-217119,0
001-203178,1
001-168761,1
001-208763,1
001-173369,1
001-203811,1
001-204818,1
001-187565,1
001-152416,1
001-205051,1
001-209864,0
001-150228,1
001-160314,1
001-219096,1
001-169522,1
001-207928,1
001-167094,1
001-206411,1
001-182731,1
001-181210,1
001-147445,1
001-217751,1
001-214674,1
001-179408,1
001-186437,1
001-213867,1
001-216937,1
001-186436,1
001-191360,1
001-182446,1
001-157509,1
001-171525,1
001-180286,1
001-213913,1
001-211123,1
001-191941,1
001-152711,1
001-213520,1
001-212158,0
001-210015,0
001-208882,1
001-145084,1
001-164670,1
001-201087,1
001-142674,0
001-182861,1
001-139991,0
001-159042,1
001-218918,1
001-222312,0
001-145457,1
001-200819,1
001-183565,0
001-178714,1
001-164315,1
001-187930,1
001-196418,1
001-205545,1
001-122787,1
001-210766,1
001-153803,0
001-179218,0
001-213914,1
001-160215,1
001-218302,1
001-163668,1
001-174314,0
001-157532,1
001-166937,1
001-161527,1
001-170358,1
001-218921,1
001-221151,0
001-164462,1
001-185307,1
001-196409,1
001-157282,0
001-209346,1
001-202415,1
001-181203,1
001-218117,1
001-154400,1
001-180282,1
001-183947,1
001-219194,0
001-218077,1
001-186433,1
001-147284,1
001-182443,0
001-168703,1
001-221542,1
001-150673,0
001-194194,1
001-209033,1
001-215601,1
001-201890,1
001-212032,1
001-180503,1
001-222654,1
001-204320,1
001-152647,1
001-147276,1
001-160623,0
001-166939,0
001-223365,1
001-180310,1
001-181595,1
001-209029,1
001-177215,1
001-173098,1
001-183814,1
001-169201,1
001-186788,0
001-145700,1
001-151007,1
001-200435,0
001-170354,1
001-122374,1
001-177349,1
001-164453,1
001-208280,0
001-196148,1
001-200839,1
001-187736,1
001-192461,0
001-180501,1
001-166682,1
001-212150,1
001-177214,1
001-164526,0
001-201896,1
001-188987,1
001-188993,1
001-164668,1
001-203307,1
001-139989,0
001-122365,1
001-223982,1
001-213868,1
001-170393,1
001-181381,1
001-180504,1
001-202540,1
001-158027,1
001-202391,1
001-219982,1
001-217039,0
001-202634,1
001-127395,1
001-167799,1
001-185293,1
001-146384,1
001-170839,1
001-180506,1
001-204319,1
001-170385,0
001-147272,1
001-122373,0
001-166928,1
001-120955,1
001-146385,1
001-203932,1
001-147676,1
001-220866,1
001-215163,1
001-141763,1
001-159886,0
001-191740,1
001-206352,0
001-159188,1
001-213788,1
001-170056,1
001-177077,0
001-184666,1
001-208800,1
001-174422,1
001-215919,1
001-204814,1
001-210849,1
001-184289,1
001-223703,0
001-149204,1
001-222409,1
001-157760,1
001-216975,1
001-142422,1
001-139084,1
001-126629,0
001-210874,0
001-163822,0
001-164963,1
001-210733,1
001-212124,1
001-216356,1
001-210041,1
001-189169,1
001-223104,1
001-139899,1
001-216156,1
001-180832,1
001-216630,1
001-161366,1
001-160087,1
001-211349,1
001-181866,1
001-203177,1
001-150232,1
001-140021,1
001-147014,1
001-171773,1
001-178958,1
001-213827,1
001-203837,1
001-177868,1
001-142637,1
001-211572,1
001-169465,1
001-157399,1
001-217705,1
001-188274,1
001-159607,1
001-140395,1
001-128039,0
001-155005,1
001-198705,1
001-119970,1
001-191480,1
001-219102,1
001-179882,1
001-203166,1
001-174381,1
001-186117,0
001-139901,1
001-182173,1
001-158468,1
001-142424,1
001-159762,1
001-170858,0
001-155372,1
001-181862,1
001-174419,1
001-192771,1
001-187397,1
001-126559,1
001-153307,1
001-162864,1
001-172322,1
001-138567,0
001-203213,1
001-192203,1
001-206155,1
001-186048,1
001-158708,1
001-210131,1
001-126361,1
001-211777,1
001-139724,1
001-218034,1
001-186667,1
001-184064,1
001-158709,0
001-216179,1
001-181295,0
